                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                  1.864,                 4.0673,                 1.7179,                0.00271,                0.65954,                0.02179,                0.01064,                 1.4608,                 3.3747,                 1.4354,                 0.0919,                 0.0009,                 0.0009
                      2,                 1.6842,                 3.9871,                  1.608,                0.00325,                0.79227,                0.03882,                 0.0216,                 1.3905,                 3.1906,                 1.3313,               0.082837,              0.0018373,              0.0018373
                      3,                  1.535,                 3.6457,                  1.434,                0.00327,                0.82702,                0.12903,                0.06194,                 1.4884,                  3.187,                 1.3716,               0.073709,              0.0027086,              0.0027086
                      4,                 1.5528,                 3.3108,                 1.3806,                0.00318,                0.81829,                0.13582,                0.05395,                  1.632,                 3.1613,                 1.3823,               0.064514,              0.0035139,              0.0035139
                      5,                 1.5263,                 2.9245,                 1.3441,                0.00313,                0.80131,                0.23469,                0.10814,                 1.5365,                 3.0633,                 1.3748,               0.055253,              0.0042532,              0.0042532
                      6,                 1.5184,                 2.5384,                 1.3348,                0.00283,                0.67474,                0.15138,                0.06978,                 1.7784,                 3.3316,                 1.6839,               0.045927,              0.0049265,              0.0049265
                      7,                 1.5305,                 2.3502,                  1.408,                0.59633,                0.04602,                0.25524,                0.11932,                 1.7101,                 3.0067,                 1.5095,               0.036534,              0.0055338,              0.0055338
                      8,                 1.5285,                 2.2978,                 1.3843,                0.49327,                0.14769,                  0.265,                0.11627,                 1.7868,                 2.8178,                 1.5689,               0.027075,              0.0060751,              0.0060751
                      9,                 1.5576,                 2.2609,                 1.4039,                0.39209,                0.34505,                0.26494,                0.11801,                 1.8753,                 2.7152,                 1.6909,                0.01755,              0.0065504,              0.0065504
                     10,                 1.5453,                  2.269,                 1.4447,                0.26358,                0.25765,                 0.1506,                0.06244,                 1.9471,                 3.1022,                 1.9955,              0.0079597,              0.0069597,              0.0069597
                     11,                 1.5801,                 2.1214,                 1.4489,                0.37139,                0.29384,                0.19218,                0.09384,                 2.0486,                 3.0929,                 2.0116,                 0.0067,                 0.0067,                 0.0067
                     12,                 1.6176,                 2.0905,                 1.4564,                0.26276,                0.31674,                0.16907,                0.07363,                   2.11,                 3.3415,                 1.8398,                0.00637,                0.00637,                0.00637
                     13,                 1.5784,                 1.9888,                 1.4369,                0.24828,                0.31782,                0.15237,                0.06631,                 2.2464,                 4.1497,                 2.0624,                0.00604,                0.00604,                0.00604
                     14,                  1.572,                  1.947,                 1.4186,                0.63771,                0.15145,                0.17749,                0.07419,                 2.1652,                 6.5327,                  1.838,                0.00571,                0.00571,                0.00571
                     15,                 1.5545,                 1.8955,                 1.4269,                0.26571,                0.47737,                0.24468,                0.11339,                 1.9192,                 7.2462,                 1.8327,                0.00538,                0.00538,                0.00538
                     16,                 1.5384,                 1.8011,                 1.4052,                0.45057,                0.34935,                0.27984,                0.13571,                  1.874,                 4.1719,                 1.7847,                0.00505,                0.00505,                0.00505
                     17,                 1.5191,                 1.7654,                 1.4174,                0.54776,                 0.4282,                0.41465,                0.20534,                 1.7719,                 2.7374,                 1.7002,                0.00472,                0.00472,                0.00472
                     18,                 1.4597,                 1.6458,                 1.3696,                 0.5505,                0.43597,                0.40154,                0.19972,                 1.8128,                 2.7302,                 1.7329,                0.00439,                0.00439,                0.00439
                     19,                 1.4507,                 1.5763,                 1.3707,                0.54244,                0.45525,                0.41143,                0.21902,                 1.7331,                 2.3758,                 1.6731,                0.00406,                0.00406,                0.00406
                     20,                 1.3863,                 1.5618,                 1.3238,                0.37133,                0.27795,                0.22223,                0.11824,                 1.9482,                 3.2205,                 1.9046,                0.00373,                0.00373,                0.00373
                     21,                 1.4441,                  1.677,                 1.3605,                0.49354,                0.36533,                0.35093,                0.18443,                  1.762,                 2.5232,                  1.656,                 0.0034,                 0.0034,                 0.0034
                     22,                 1.3695,                 1.6049,                 1.3053,                0.70035,                0.51685,                0.58613,                0.32176,                 1.5921,                 1.7629,                  1.502,                0.00307,                0.00307,                0.00307
                     23,                  1.333,                 1.4878,                 1.2731,                0.66706,                0.59378,                0.63322,                0.35251,                 1.5545,                 1.6057,                   1.43,                0.00274,                0.00274,                0.00274
                     24,                  1.326,                 1.4591,                 1.2871,                0.64288,                0.53433,                0.56881,                0.30775,                 1.5615,                 1.7467,                 1.4452,                0.00241,                0.00241,                0.00241
                     25,                  1.276,                 1.3592,                 1.2434,                0.66553,                0.56867,                0.61027,                0.33228,                 1.5488,                 1.6633,                 1.4472,                0.00208,                0.00208,                0.00208
                     26,                 1.2662,                 1.2982,                 1.2465,                0.68067,                0.57091,                0.60311,                0.33392,                 1.5227,                 1.6507,                 1.4208,                0.00175,                0.00175,                0.00175
                     27,                  1.269,                 1.2497,                 1.2409,                0.76882,                0.63834,                0.70866,                0.40693,                 1.4933,                 1.4039,                 1.3703,                0.00142,                0.00142,                0.00142
                     28,                 1.2127,                 1.2051,                 1.2147,                0.78798,                0.64934,                0.73067,                 0.4259,                 1.4577,                 1.3674,                 1.3561,                0.00109,                0.00109,                0.00109
                     29,                 1.2056,                 1.1548,                 1.2111,                 0.8044,                0.67444,                 0.7448,                0.43882,                 1.4483,                 1.3072,                 1.3341,                0.00076,                0.00076,                0.00076
                     30,                 1.1642,                 1.1631,                 1.1742,                 0.8073,                0.66155,                0.74018,                0.43779,                 1.4476,                 1.3206,                  1.339,                0.00043,                0.00043,                0.00043
