                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.7189,                 4.1398,                 1.6518,                0.00274,                0.65678,                0.05073,                0.02858,                 1.5025,                 3.4202,                 1.4986,                 0.0937,                 0.0007,                 0.0007
                      2,                 1.6343,                 3.8801,                 1.5813,                0.00295,                0.72126,                 0.0864,                0.04853,                 1.3877,                 3.3403,                 1.3911,                0.08645,              0.0014505,              0.0014505
                      3,                 1.5188,                 3.7998,                 1.4335,                0.00335,                0.79485,                0.13994,                0.07651,                 1.3936,                 3.1722,                 1.3384,               0.079148,              0.0021482,              0.0021482
                      4,                 1.4844,                 3.4376,                 1.3516,                0.00341,                0.81525,                0.14749,                0.07422,                 1.5371,                  3.208,                 1.4321,               0.071793,              0.0027931,              0.0027931
                      5,                 1.5374,                 3.3364,                 1.4308,                 0.0034,                0.81951,                0.24305,                0.12027,                 1.5022,                 3.1588,                  1.393,               0.064385,              0.0033852,              0.0033852
                      6,                 1.4746,                 2.8942,                  1.389,                0.00327,                0.83792,                 0.3021,                0.15083,                 1.4323,                 2.9627,                 1.2834,               0.056925,              0.0039245,              0.0039245
                      7,                 1.5549,                 2.5383,                 1.3857,                0.00309,                0.78991,                0.34659,                0.17298,                 1.5171,                 3.0066,                 1.3588,               0.049411,               0.004411,               0.004411
                      8,                 1.5356,                 2.4247,                 1.5109,                0.00307,                 0.7827,                0.30809,                  0.162,                 1.4967,                 3.0856,                 1.3652,               0.041845,              0.0048447,              0.0048447
                      9,                 1.4045,                 2.2213,                 1.3649,                0.67851,                0.07425,                0.30679,                0.15414,                 1.5739,                 3.0035,                 1.4629,               0.034226,              0.0052256,              0.0052256
                     10,                 1.5628,                 2.1629,                 1.4468,                0.74216,                0.14595,                0.27856,                 0.1252,                  1.752,                 2.9542,                 1.6133,               0.026554,              0.0055537,              0.0055537
                     11,                 1.5137,                 2.0906,                  1.436,                0.42287,                0.11798,                0.19548,                0.10093,                 1.9404,                 3.2992,                 1.8703,               0.018829,               0.005829,               0.005829
                     12,                  1.491,                 2.0181,                 1.3984,                0.59331,                0.12188,                0.16381,                0.07213,                 2.0249,                 3.4292,                 2.1739,               0.011052,              0.0060515,              0.0060515
                     13,                 1.5511,                 2.0077,                 1.4515,                0.29428,                 0.2385,                0.16577,                0.07391,                 1.9586,                 3.7324,                 2.1715,                0.00604,                0.00604,                0.00604
                     14,                 1.6308,                 2.1402,                 1.5821,                0.50998,                0.13386,                0.16422,                0.06575,                 2.0898,                 3.3245,                 2.2753,                0.00571,                0.00571,                0.00571
                     15,                 1.5576,                 1.8629,                 1.4568,                0.47189,                0.26778,                0.20835,                0.09112,                 1.9677,                 3.0854,                 2.0531,                0.00538,                0.00538,                0.00538
                     16,                 1.5686,                 2.0442,                 1.5338,                 0.3904,                0.26162,                0.18613,                0.08131,                 2.0106,                 2.9736,                 1.9842,                0.00505,                0.00505,                0.00505
                     17,                 1.5128,                 2.0875,                 1.5756,                0.42147,                0.34325,                0.26728,                0.12838,                 1.8463,                 2.5581,                 1.7509,                0.00472,                0.00472,                0.00472
                     18,                 1.4977,                 1.7306,                 1.4212,                0.35395,                0.35987,                0.24494,                 0.1203,                 1.7903,                 2.9176,                 1.8417,                0.00439,                0.00439,                0.00439
                     19,                 1.4454,                 1.7428,                 1.3922,                0.60042,                0.27587,                 0.2774,                0.13494,                 1.8007,                 2.5407,                   1.65,                0.00406,                0.00406,                0.00406
                     20,                 1.4003,                 1.6168,                 1.3591,                 0.5533,                0.35743,                0.35399,                0.17319,                 1.8861,                 2.6702,                 1.8616,                0.00373,                0.00373,                0.00373
                     21,                 1.3876,                 1.7912,                 1.3674,                0.41052,                0.20522,                0.18816,                0.07965,                 2.2119,                 3.1796,                 2.3746,                 0.0034,                 0.0034,                 0.0034
                     22,                 1.4847,                 1.8396,                 1.4024,                0.60592,                 0.4288,                0.44963,                0.22842,                 1.8027,                 2.1679,                 1.7112,                0.00307,                0.00307,                0.00307
                     23,                 1.3394,                 1.5706,                 1.2934,                0.62315,                0.32632,                 0.3642,                 0.1757,                 1.7131,                 2.4662,                 1.6943,                0.00274,                0.00274,                0.00274
                     24,                 1.3997,                 1.7519,                 1.3176,                0.72866,                0.47019,                0.53732,                0.29301,                 1.6057,                   1.92,                 1.5453,                0.00241,                0.00241,                0.00241
                     25,                 1.2856,                 1.5538,                 1.3122,                 0.6905,                0.47871,                0.51834,                0.27862,                 1.6584,                 1.9931,                 1.5627,                0.00208,                0.00208,                0.00208
                     26,                 1.2875,                  1.506,                 1.2946,                0.73245,                0.47699,                0.53846,                0.29447,                 1.6445,                 1.8644,                 1.5941,                0.00175,                0.00175,                0.00175
                     27,                 1.4173,                 1.6699,                 1.4111,                0.72522,                0.51563,                0.56821,                0.31132,                 1.5943,                 1.7529,                  1.506,                0.00142,                0.00142,                0.00142
                     28,                 1.3689,                 1.4219,                 1.3382,                0.71879,                 0.5161,                0.57308,                0.32267,                 1.5873,                 1.7769,                 1.4921,                0.00109,                0.00109,                0.00109
                     29,                 1.2092,                 1.2944,                 1.2106,                0.76523,                 0.5643,                 0.6449,                0.37185,                 1.5185,                 1.5426,                 1.4132,                0.00076,                0.00076,                0.00076
                     30,                 1.1645,                 1.2329,                 1.2049,                0.75644,                0.61443,                0.67783,                0.39304,                 1.5071,                 1.4408,                 1.3886,                0.00043,                0.00043,                0.00043
