                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.7805,                 4.0806,                 1.6457,                0.00278,                0.70779,                0.05451,                0.02744,                 1.5099,                 3.4482,                 1.5231,                 0.0919,                 0.0009,                 0.0009
                      2,                 1.6461,                 3.9395,                 1.5595,                0.00308,                0.77061,                0.10694,                0.05604,                 1.3648,                 3.2078,                 1.3379,               0.082837,              0.0018373,              0.0018373
                      3,                 1.4978,                 3.6011,                  1.437,                0.00316,                0.81004,                0.17618,                0.08799,                 1.3924,                 3.1232,                  1.273,               0.073709,              0.0027086,              0.0027086
                      4,                 1.5266,                 3.1018,                 1.4415,                0.00307,                0.78889,                 0.2535,                0.12833,                  1.422,                 3.0495,                 1.2871,               0.064514,              0.0035139,              0.0035139
                      5,                 1.5365,                 2.7427,                 1.4345,                0.53756,                0.28596,                0.26431,                0.14489,                 1.4073,                 3.0275,                 1.3079,               0.055253,              0.0042532,              0.0042532
                      6,                 1.5031,                 2.4326,                 1.3803,                0.69006,                0.04869,                0.13816,                0.05938,                 1.6976,                 3.1416,                 1.4933,               0.045927,              0.0049265,              0.0049265
                      7,                 1.5074,                 2.2496,                 1.3465,                0.82542,                0.10806,                0.33497,                0.16403,                 1.5203,                 2.8858,                 1.3656,               0.036534,              0.0055338,              0.0055338
                      8,                 1.5506,                 2.2277,                 1.3928,                 0.8036,                0.07139,                0.15684,                0.06735,                 1.8529,                 3.1446,                 1.5695,               0.027075,              0.0060751,              0.0060751
                      9,                 1.5141,                 2.1404,                  1.384,                0.74888,                0.06205,                0.12461,                0.05216,                 1.9189,                  3.228,                 1.7065,                0.01755,              0.0065504,              0.0065504
                     10,                 1.5658,                 2.1179,                 1.4097,                0.51861,                0.14648,                 0.1554,                0.06087,                 2.1629,                 3.1686,                 2.1556,              0.0079597,              0.0069597,              0.0069597
                     11,                 1.5692,                 2.0088,                 1.4173,                0.62259,                0.11808,                0.16156,                0.06273,                 2.1334,                 3.5727,                 2.4278,                 0.0067,                 0.0067,                 0.0067
                     12,                 1.5816,                 2.0024,                 1.4254,                0.64007,                 0.1151,                  0.093,                0.04118,                 1.9249,                 3.3305,                 2.0415,                0.00637,                0.00637,                0.00637
                     13,                 1.5533,                 1.8831,                 1.4068,                 0.5255,                0.05616,                0.01517,                0.00724,                 2.3226,                  4.207,                 2.4197,                0.00604,                0.00604,                0.00604
                     14,                 1.5273,                 1.8091,                 1.3967,                0.29889,                0.18153,                0.12594,                0.04925,                 2.0785,                 3.0791,                 1.9994,                0.00571,                0.00571,                0.00571
                     15,                 1.4878,                 1.7785,                 1.3823,                0.33791,                0.29162,                0.19762,                0.08719,                 1.8234,                 2.8968,                 1.8471,                0.00538,                0.00538,                0.00538
                     16,                 1.4475,                  1.694,                 1.3692,                0.54361,                0.30181,                0.24015,                0.11222,                 1.7694,                 3.3461,                 1.8322,                0.00505,                0.00505,                0.00505
                     17,                  1.428,                 1.5943,                 1.3164,                0.55767,                0.13857,                0.13934,                0.06157,                 1.8854,                 3.6372,                  1.967,                0.00472,                0.00472,                0.00472
                     18,                 1.4122,                 1.5609,                 1.3216,                0.43588,                0.33081,                0.25978,                0.12293,                 1.8272,                 3.2081,                 1.8573,                0.00439,                0.00439,                0.00439
                     19,                 1.3736,                 1.4729,                 1.3086,                0.55947,                0.43804,                0.44032,                 0.2195,                 1.7646,                 2.2923,                 1.7646,                0.00406,                0.00406,                0.00406
                     20,                 1.3942,                 1.4719,                 1.3142,                0.55043,                0.40028,                 0.4152,                0.20582,                 1.8052,                 3.1556,                 1.7151,                0.00373,                0.00373,                0.00373
                     21,                 1.3874,                 1.5895,                 1.3257,                0.56203,                0.46181,                 0.4606,                0.24415,                 1.6735,                 2.0823,                 1.5891,                 0.0034,                 0.0034,                 0.0034
                     22,                 1.3551,                 1.5656,                 1.3269,                0.63168,                0.43633,                0.46104,                 0.2312,                 1.7444,                 1.9203,                 1.6048,                0.00307,                0.00307,                0.00307
                     23,                 1.2927,                 1.4178,                 1.2759,                0.69047,                0.50341,                0.54783,                 0.2915,                 1.6519,                 1.8357,                 1.5367,                0.00274,                0.00274,                0.00274
                     24,                 1.2907,                 1.4282,                 1.2633,                0.65518,                0.54688,                0.56342,                0.31498,                 1.5772,                 1.7508,                 1.5028,                0.00241,                0.00241,                0.00241
                     25,                 1.2605,                  1.381,                 1.2376,                0.73685,                 0.5632,                0.62575,                0.36482,                  1.503,                 1.5759,                  1.472,                0.00208,                0.00208,                0.00208
                     26,                 1.2082,                  1.278,                  1.218,                 0.7636,                0.58146,                0.65519,                0.38528,                 1.4923,                 1.5193,                 1.4475,                0.00175,                0.00175,                0.00175
                     27,                 1.1987,                 1.2007,                 1.2105,                0.74118,                0.61312,                0.67044,                0.39747,                 1.4483,                 1.4478,                 1.4139,                0.00142,                0.00142,                0.00142
                     28,                  1.205,                 1.1954,                  1.201,                0.75913,                0.61374,                0.68702,                0.40106,                 1.4607,                 1.3906,                 1.4151,                0.00109,                0.00109,                0.00109
                     29,                 1.1505,                 1.1578,                 1.1876,                0.79572,                0.63807,                0.71367,                0.41775,                  1.463,                 1.3354,                 1.4009,                0.00076,                0.00076,                0.00076
                     30,                 1.1275,                  1.108,                 1.1407,                0.78523,                0.65077,                0.72584,                0.42774,                 1.4431,                 1.2873,                 1.3874,                0.00043,                0.00043,                0.00043
