                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.6956,                 3.8641,                 1.5836,                0.00306,                0.76921,                0.07653,                0.04292,                 1.3786,                 3.2278,                 1.3638,                 0.0874,                 0.0014,                 0.0014
                      2,                 1.4439,                 3.4148,                 1.3972,                0.00315,                0.78927,                0.16512,                0.09258,                 1.3909,                 3.1603,                 1.3311,               0.073804,              0.0028043,              0.0028043
                      3,                 1.4219,                 2.6118,                 1.3914,                0.00295,                0.70661,                0.16941,                0.08387,                 1.6469,                 3.3296,                 1.6142,                0.06011,              0.0041096,              0.0041096
                      4,                 1.4998,                 2.3234,                 1.3798,                 0.4762,                 0.1084,                0.28669,                0.13425,                 1.6925,                 2.9789,                 1.4196,               0.046316,              0.0053159,              0.0053159
                      5,                 1.4705,                 2.1294,                 1.3378,                0.00291,                0.62437,                0.13652,                0.05914,                 2.2207,                 3.5087,                 1.9913,               0.032423,              0.0064232,              0.0064232
                      6,                 1.5776,                 2.1613,                 1.3969,                0.51445,                0.13632,                0.19659,                0.09429,                 1.8263,                 3.1055,                 1.7885,               0.018431,              0.0074315,              0.0074315
                      7,                  1.565,                 2.0928,                 1.4097,                0.05607,                0.02896,                0.01156,                0.00453,                 2.4886,                 3.8611,                 2.6981,                0.00802,                0.00802,                0.00802
                      8,                 1.5809,                 2.0123,                 1.4561,                0.51626,                0.04552,                0.00758,                0.00309,                 2.8006,                 11.841,                 3.2686,                0.00769,                0.00769,                0.00769
                      9,                 1.6269,                 1.9642,                 1.4287,                 0.0349,                0.08974,                0.01281,                0.00458,                 2.4061,                 3.8259,                 2.4352,                0.00736,                0.00736,                0.00736
                     10,                  1.578,                  1.863,                 1.4023,                0.21923,                0.13132,                0.10543,                 0.0491,                 2.0445,                 3.3339,                 2.0472,                0.00703,                0.00703,                0.00703
                     11,                 1.4958,                 1.7841,                 1.3789,                0.22437,                0.23581,                0.13994,                 0.0629,                 2.1137,                 3.5264,                  2.092,                 0.0067,                 0.0067,                 0.0067
                     12,                  1.571,                  1.786,                 1.3997,                0.29336,                0.24083,                0.16642,                0.08669,                 2.0343,                 4.5611,                 2.0709,                0.00637,                0.00637,                0.00637
                     13,                 1.4898,                  1.605,                 1.3538,                0.33518,                0.31083,                 0.2237,                0.11303,                  1.947,                 3.7989,                 1.9213,                0.00604,                0.00604,                0.00604
                     14,                   1.44,                 1.5277,                 1.3424,                0.47222,                0.36676,                0.30748,                0.14898,                 1.8788,                 4.1105,                 1.8788,                0.00571,                0.00571,                0.00571
                     15,                 1.4977,                 1.4953,                 1.3453,                0.50762,                0.42283,                0.39101,                0.20157,                 1.7725,                 2.4996,                 1.6305,                0.00538,                0.00538,                0.00538
                     16,                 1.4081,                 1.4422,                  1.321,                0.55589,                0.30316,                0.32154,                0.16625,                 1.8989,                 2.7528,                 1.7649,                0.00505,                0.00505,                0.00505
                     17,                 1.3477,                 1.3908,                 1.2827,                0.46337,                0.31843,                0.32812,                0.16958,                 1.9472,                 3.0014,                 1.8739,                0.00472,                0.00472,                0.00472
                     18,                 1.3347,                 1.3064,                 1.2599,                0.70793,                0.52732,                0.58028,                0.31905,                 1.6363,                 1.7174,                 1.5545,                0.00439,                0.00439,                0.00439
                     19,                 1.3306,                 1.2519,                 1.2548,                0.72199,                0.53013,                 0.5894,                0.32585,                 1.6536,                 1.6794,                 1.5396,                0.00406,                0.00406,                0.00406
                     20,                 1.2709,                 1.2398,                 1.2354,                0.70343,                0.51589,                0.56982,                  0.321,                 1.6784,                 1.7634,                 1.5446,                0.00373,                0.00373,                0.00373
                     21,                 1.3158,                 1.3679,                 1.2483,                0.74276,                0.56679,                0.63024,                0.36045,                 1.5912,                 1.6199,                 1.4815,                 0.0034,                 0.0034,                 0.0034
                     22,                 1.3236,                 1.2943,                 1.2629,                0.74647,                0.57584,                0.63424,                0.34203,                 1.6454,                 1.5588,                 1.5277,                0.00307,                0.00307,                0.00307
                     23,                 1.2882,                 1.2072,                 1.2336,                0.77323,                0.58931,                0.66236,                0.37786,                 1.5815,                  1.444,                 1.4314,                0.00274,                0.00274,                0.00274
                     24,                 1.2716,                  1.154,                 1.2464,                0.73029,                0.58232,                0.62619,                0.33951,                  1.604,                 1.4387,                 1.4766,                0.00241,                0.00241,                0.00241
                     25,                 1.1974,                  1.117,                  1.195,                 0.8024,                0.63931,                0.71563,                0.40992,                 1.5117,                 1.2571,                   1.41,                0.00208,                0.00208,                0.00208
                     26,                 1.1821,                 1.0857,                 1.1916,                0.80067,                0.63936,                0.71591,                0.41468,                 1.5296,                 1.2738,                  1.422,                0.00175,                0.00175,                0.00175
                     27,                  1.163,                 1.0146,                 1.1603,                0.83311,                0.65933,                0.74817,                 0.4313,                 1.4944,                 1.2092,                 1.3948,                0.00142,                0.00142,                0.00142
                     28,                 1.1461,                0.98641,                 1.1605,                 0.8404,                0.66601,                0.75486,                0.44697,                 1.4673,                 1.1906,                 1.3748,                0.00109,                0.00109,                0.00109
                     29,                 1.1026,                0.95084,                 1.1381,                0.84466,                 0.6792,                0.76237,                0.45671,                   1.44,                 1.1294,                 1.3547,                0.00076,                0.00076,                0.00076
                     30,                 1.0883,                0.92941,                 1.1281,                0.84057,                0.67776,                0.76247,                 0.4551,                 1.4463,                 1.1342,                 1.3704,                0.00043,                0.00043,                0.00043
