                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.7192,                 3.9926,                 1.6393,                0.00336,                0.67716,                 0.0254,                0.01395,                 1.4863,                 3.4128,                 1.4789,                 0.0964,                 0.0004,                 0.0004
                      2,                 1.6875,                 3.9686,                 1.6223,                0.00275,                0.67299,                0.02935,                0.01654,                 1.4464,                 3.3956,                 1.4506,                0.09187,              0.0008703,              0.0008703
                      3,                 1.6127,                 3.9049,                 1.5661,                0.00299,                0.73058,                0.04471,                0.02455,                 1.3687,                 3.2332,                 1.3725,               0.087308,              0.0013076,              0.0013076
                      4,                 1.4878,                 3.8028,                  1.506,                0.00316,                0.78701,                0.06071,                 0.0325,                 1.3363,                 3.1661,                 1.2977,               0.082712,              0.0017119,              0.0017119
                      5,                 1.3982,                 3.6904,                 1.4126,                0.00339,                0.80531,                0.09196,                0.04842,                 1.3483,                 3.1599,                 1.3125,               0.078083,              0.0020832,              0.0020832
                      6,                  1.411,                 3.5929,                 1.3989,                 0.0033,                0.82281,                 0.1259,                0.06626,                  1.377,                 3.1076,                  1.293,               0.073422,              0.0024215,              0.0024215
                      7,                 1.3851,                 3.4397,                 1.3489,                0.00321,                0.82332,                 0.1291,                0.06594,                 1.3919,                 3.0808,                 1.2737,               0.068727,              0.0027268,              0.0027268
                      8,                 1.3498,                 3.2919,                 1.3285,                0.00318,                 0.7859,                0.13724,                0.05741,                 1.6378,                  3.153,                  1.414,               0.063999,              0.0029991,              0.0029991
                      9,                 1.4287,                 3.1629,                 1.3351,                0.00316,                 0.8132,                0.19738,                0.08892,                 1.5986,                 3.0684,                 1.3534,               0.059238,              0.0032384,              0.0032384
                     10,                 1.3816,                 2.8955,                 1.3207,                0.74902,                0.07047,                0.26283,                0.11722,                 1.6257,                 2.9451,                 1.3352,               0.054445,              0.0034447,              0.0034447
                     11,                 1.3902,                 2.4934,                 1.2933,                  0.736,                0.10544,                0.27394,                0.13928,                  1.594,                 2.9399,                 1.3499,               0.049618,               0.003618,               0.003618
                     12,                 1.3941,                  2.427,                 1.3059,                0.74619,                0.11643,                0.24713,                0.12369,                 1.6627,                  3.008,                 1.4407,               0.044758,              0.0037583,              0.0037583
                     13,                 1.4374,                 2.4289,                 1.3457,                0.71976,                0.09287,                 0.2577,                0.12921,                  1.662,                 3.0701,                 1.5075,               0.039866,              0.0038656,              0.0038656
                     14,                  1.395,                 2.1586,                 1.3439,                0.41597,                0.09106,                0.24101,                0.11179,                 1.7274,                 3.0751,                 1.5296,                0.03494,              0.0039399,              0.0039399
                     15,                 1.3839,                 2.1934,                  1.297,                0.78103,                0.11561,                0.32588,                0.17019,                 1.5497,                 2.8639,                 1.3762,               0.029981,              0.0039812,              0.0039812
                     16,                 1.3147,                 1.9377,                 1.2792,                0.68546,                0.17189,                0.33544,                0.17894,                 1.5643,                 2.8171,                 1.4079,               0.024989,              0.0039895,              0.0039895
                     17,                 1.3893,                 2.0544,                 1.3268,                0.68047,                0.26358,                0.40471,                0.20645,                 1.5755,                 2.6309,                 1.3712,               0.019965,              0.0039648,              0.0039648
                     18,                 1.3679,                 1.9639,                 1.2851,                0.63309,                0.25381,                0.37068,                0.19542,                  1.585,                 2.7083,                 1.4159,               0.014907,              0.0039071,              0.0039071
                     19,                 1.3387,                 1.8785,                 1.2555,                0.62698,                0.23644,                0.33155,                0.17197,                 1.6156,                 2.8609,                 1.5264,              0.0098164,              0.0038164,              0.0038164
                     20,                 1.3619,                 1.7931,                 1.2667,                0.59895,                0.21658,                0.29465,                0.15141,                 1.6764,                 2.9684,                 1.5964,              0.0046927,              0.0036927,              0.0036927
                     21,                 1.3333,                 2.1693,                 1.2661,                 0.5352,                0.13928,                0.19745,                0.09498,                 1.7344,                  3.138,                 1.6413,                 0.0034,                 0.0034,                 0.0034
                     22,                 1.3075,                 2.0585,                 1.2582,                0.63822,                0.22649,                0.31731,                 0.1575,                 1.7487,                 2.8694,                 1.5999,                0.00307,                0.00307,                0.00307
                     23,                  1.264,                  1.923,                 1.2253,                 0.6275,                0.26742,                0.33254,                0.16601,                 1.7791,                 2.8608,                 1.6793,                0.00274,                0.00274,                0.00274
                     24,                 1.3148,                 1.9508,                 1.2585,                0.68901,                0.31796,                0.42303,                 0.2149,                 1.6935,                 2.6477,                 1.5534,                0.00241,                0.00241,                0.00241
                     25,                 1.2722,                 1.8309,                 1.2365,                0.62594,                0.31016,                0.39351,                0.19349,                 1.7706,                 2.7186,                 1.6288,                0.00208,                0.00208,                0.00208
                     26,                 1.2251,                 1.7454,                 1.1759,                0.63735,                0.36806,                  0.425,                0.22142,                 1.6885,                 2.5638,                 1.5471,                0.00175,                0.00175,                0.00175
                     27,                 1.2082,                 1.6801,                 1.1729,                 0.6534,                0.48112,                0.51971,                 0.2767,                  1.602,                 2.2132,                 1.4498,                0.00142,                0.00142,                0.00142
                     28,                 1.1689,                 1.6205,                   1.15,                0.64984,                0.49596,                0.54201,                0.29021,                 1.5826,                 2.0496,                 1.4305,                0.00109,                0.00109,                0.00109
                     29,                 1.1233,                 1.5311,                 1.1222,                0.68029,                0.53279,                0.58719,                0.32474,                 1.5351,                 1.8785,                 1.3796,                0.00076,                0.00076,                0.00076
                     30,                 1.1104,                 1.5131,                 1.1325,                 0.7012,                0.54581,                 0.6115,                0.33965,                 1.5232,                 1.7965,                 1.3595,                0.00043,                0.00043,                0.00043
