                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.7697,                 3.9704,                 1.6536,                0.00268,                0.65218,                0.01858,                0.00803,                 1.4626,                 3.3876,                 1.4438,                 0.0901,                 0.0011,                 0.0011
                      2,                 1.6555,                 3.7601,                 1.5514,                0.00307,                0.75722,                0.11039,                0.05791,                 1.3687,                 3.2088,                 1.3398,               0.079224,              0.0022241,              0.0022241
                      3,                 1.5613,                 3.1277,                 1.4701,                0.00297,                0.74619,                0.14484,                0.07772,                 1.4243,                 3.2291,                  1.351,               0.068269,               0.003269,               0.003269
                      4,                  1.549,                 2.6347,                 1.4429,                0.00369,                0.62204,                0.14471,                0.07709,                 1.5345,                 3.1994,                 1.4921,               0.057235,              0.0042347,              0.0042347
                      5,                 1.5478,                 2.3251,                 1.3941,                0.73698,                0.16085,                0.20338,                0.10125,                 1.5429,                 3.0802,                  1.413,               0.046121,              0.0051212,              0.0051212
                      6,                 1.5299,                 2.2451,                  1.394,                0.72131,                0.11158,                0.26974,                0.12275,                 1.6838,                 2.8922,                 1.4573,               0.034929,              0.0059285,              0.0059285
                      7,                 1.5512,                 2.1197,                 1.3962,                0.52446,                0.19125,                0.25989,                0.12011,                 1.8507,                 2.8569,                 1.7184,               0.023657,              0.0066566,              0.0066566
                      8,                 1.5925,                 2.0698,                 1.4204,                0.46008,                0.27752,                0.28911,                0.13594,                 1.8474,                 2.7666,                 1.7961,               0.012305,              0.0073055,              0.0073055
                      9,                  1.608,                 2.0861,                 1.4448,                0.31146,                0.11286,                0.08007,                 0.0377,                  2.362,                 3.7084,                 2.4975,                0.00736,                0.00736,                0.00736
                     10,                 1.6089,                 2.0437,                 1.4485,                0.29662,                0.26627,                0.15863,                 0.0672,                 2.2062,                 3.6498,                 2.3482,                0.00703,                0.00703,                0.00703
                     11,                    1.6,                 1.9875,                 1.4141,                0.40128,                0.19583,                0.16481,                0.07142,                 2.1513,                  3.508,                 2.2516,                 0.0067,                 0.0067,                 0.0067
                     12,                 1.5966,                 1.8503,                 1.4012,                0.41784,                 0.2223,                0.15084,                 0.0649,                 2.1274,                 3.5759,                 2.3029,                0.00637,                0.00637,                0.00637
                     13,                 1.5811,                  1.753,                 1.4029,                0.39962,                0.29499,                0.24465,                0.11745,                 1.9098,                 3.1392,                 1.9187,                0.00604,                0.00604,                0.00604
                     14,                 1.5473,                  1.724,                  1.364,                0.56314,                0.37471,                0.39032,                0.19144,                 1.8571,                 2.7557,                 1.8916,                0.00571,                0.00571,                0.00571
                     15,                 1.4723,                  1.647,                 1.3334,                0.41102,                0.44757,                0.34726,                0.17656,                 1.7822,                 3.4128,                 1.7597,                0.00538,                0.00538,                0.00538
                     16,                 1.4612,                 1.5932,                 1.3358,                0.52493,                0.35281,                0.36875,                0.19503,                 1.8393,                 2.8649,                 1.9191,                0.00505,                0.00505,                0.00505
                     17,                 1.4571,                 1.5581,                 1.3071,                0.56017,                0.39568,                0.40725,                 0.1889,                 1.9149,                 2.2187,                 1.9015,                0.00472,                0.00472,                0.00472
                     18,                 1.4012,                 1.4626,                 1.2962,                0.56736,                0.40119,                0.42467,                0.21032,                 1.8347,                 2.2454,                 1.8694,                0.00439,                0.00439,                0.00439
                     19,                 1.3748,                 1.4532,                 1.2974,                0.53128,                0.43381,                0.39732,                0.20996,                  1.657,                 2.2599,                 1.6616,                0.00406,                0.00406,                0.00406
                     20,                 1.3258,                 1.3519,                 1.2567,                0.63291,                0.45402,                0.48229,                0.26355,                 1.6104,                 2.1537,                 1.5861,                0.00373,                0.00373,                0.00373
                     21,                 1.4108,                 1.5643,                 1.3411,                0.69052,                0.51848,                0.56979,                0.31468,                 1.6089,                 1.8757,                 1.5579,                 0.0034,                 0.0034,                 0.0034
                     22,                 1.3644,                 1.4514,                 1.3101,                0.74187,                0.56584,                0.63932,                0.35905,                 1.5647,                 1.6463,                 1.5276,                0.00307,                0.00307,                0.00307
                     23,                 1.3591,                 1.4044,                 1.2832,                0.67461,                0.46585,                0.52366,                 0.2889,                 1.6496,                 2.1366,                 1.5976,                0.00274,                0.00274,                0.00274
                     24,                 1.2799,                 1.2715,                 1.2261,                0.69784,                0.52031,                0.59492,                0.33477,                 1.5243,                 1.8534,                 1.4442,                0.00241,                0.00241,                0.00241
                     25,                 1.2654,                 1.2506,                 1.2355,                0.67678,                0.56422,                  0.599,                0.33813,                 1.4956,                 1.7334,                 1.4115,                0.00208,                0.00208,                0.00208
                     26,                 1.2452,                 1.2018,                 1.2049,                 0.6796,                 0.5776,                0.62128,                 0.3469,                 1.5107,                 1.6283,                 1.4478,                0.00175,                0.00175,                0.00175
                     27,                 1.2178,                  1.153,                 1.2091,                 0.7893,                0.61285,                0.70528,                0.41143,                  1.464,                 1.3659,                 1.4146,                0.00142,                0.00142,                0.00142
                     28,                 1.1877,                 1.0829,                 1.1877,                0.74702,                0.61931,                0.68391,                0.39796,                 1.4514,                 1.4251,                 1.3891,                0.00109,                0.00109,                0.00109
                     29,                  1.202,                 1.0707,                 1.1894,                 0.7646,                0.62718,                0.70517,                0.41681,                 1.4424,                 1.3807,                 1.3785,                0.00076,                0.00076,                0.00076
                     30,                 1.1411,                  1.051,                 1.1742,                0.77239,                 0.6429,                 0.7246,                0.43373,                 1.4193,                 1.3018,                 1.3688,                0.00043,                0.00043,                0.00043
