                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.7347,                 3.9247,                 1.6376,                0.00255,                0.62419,                0.01883,                0.00863,                 1.4633,                 3.4118,                 1.4656,                 0.0901,                 0.0011,                 0.0011
                      2,                 1.5974,                 3.6629,                 1.5244,                0.00316,                0.78584,                0.13997,                0.07509,                 1.3652,                 3.1718,                 1.3204,               0.079224,              0.0022241,              0.0022241
                      3,                 1.5021,                 2.9234,                 1.4378,                0.00324,                0.82138,                0.18114,                  0.096,                 1.4018,                 3.1135,                  1.315,               0.068269,               0.003269,               0.003269
                      4,                 1.4623,                 2.4959,                 1.3998,                0.00317,                0.80837,                0.19223,                0.10882,                 1.3802,                 3.0825,                 1.3577,               0.057235,              0.0042347,              0.0042347
                      5,                 1.4286,                 2.2108,                  1.333,                0.82202,                0.10135,                0.26834,                0.13008,                 1.4882,                 2.8794,                 1.3568,               0.046121,              0.0051212,              0.0051212
                      6,                 1.4608,                 2.1893,                 1.3394,                0.81242,                0.16017,                0.39043,                0.21333,                 1.4526,                  2.798,                 1.3579,               0.034929,              0.0059285,              0.0059285
                      7,                 1.5121,                 2.1707,                 1.3755,                0.58585,                0.17509,                0.29352,                0.13771,                 1.7556,                 2.9241,                 1.6684,               0.023657,              0.0066566,              0.0066566
                      8,                 1.5827,                 2.1647,                 1.4122,                0.25277,                0.20337,                0.13221,                0.05174,                 2.2449,                 3.1888,                 2.2022,               0.012305,              0.0073055,              0.0073055
                      9,                 1.5498,                 2.1146,                 1.4002,                0.28605,                0.35092,                0.18046,                0.07955,                 2.0861,                 4.8218,                 2.1272,                0.00736,                0.00736,                0.00736
                     10,                 1.5812,                 2.0865,                 1.4004,                0.31011,                0.04312,                0.00884,                0.00403,                 2.9713,                  5.872,                 3.2924,                0.00703,                0.00703,                0.00703
                     11,                  1.582,                 1.9259,                 1.4154,                0.24899,                0.11357,                0.05774,                0.02282,                  2.458,                  4.447,                 2.8175,                 0.0067,                 0.0067,                 0.0067
                     12,                 1.5696,                 1.9012,                 1.4107,                0.26145,                 0.2495,                0.14922,                0.06625,                 1.9505,                 3.9904,                 2.0702,                0.00637,                0.00637,                0.00637
                     13,                 1.5211,                 1.7542,                 1.3889,                0.17461,                0.22792,                0.08486,                0.03065,                  2.552,                 5.9714,                 3.0156,                0.00604,                0.00604,                0.00604
                     14,                 1.4897,                 1.6372,                 1.3503,                0.56667,                0.45247,                0.42452,                0.20407,                  1.712,                 4.2199,                 1.7453,                0.00571,                0.00571,                0.00571
                     15,                 1.4711,                 1.6283,                 1.3564,                0.29726,                0.34479,                0.19499,                0.08622,                 1.9958,                 4.6591,                 2.1965,                0.00538,                0.00538,                0.00538
                     16,                 1.4585,                 1.5835,                 1.3737,                0.58481,                0.36563,                0.39697,                0.19666,                 1.7711,                 3.5559,                 1.7702,                0.00505,                0.00505,                0.00505
                     17,                 1.4018,                 1.5618,                 1.3362,                 0.4653,                 0.2694,                0.16563,                0.07728,                 1.7455,                 3.3629,                 1.6623,                0.00472,                0.00472,                0.00472
                     18,                 1.4025,                 1.5339,                 1.3282,                0.19443,                0.32908,                0.11649,                0.05094,                 1.8491,                  4.847,                 1.7845,                0.00439,                0.00439,                0.00439
                     19,                 1.3551,                 1.4453,                 1.3069,                0.46427,                0.34679,                0.28242,                0.14317,                 1.7035,                 2.5941,                  1.673,                0.00406,                0.00406,                0.00406
                     20,                 1.3046,                 1.3541,                 1.2634,                0.62705,                0.49816,                0.51154,                0.26896,                 1.6618,                   1.84,                 1.6495,                0.00373,                0.00373,                0.00373
                     21,                 1.3413,                 1.5442,                 1.3194,                0.67514,                0.50154,                0.55468,                0.30438,                  1.644,                 2.0444,                 1.6309,                 0.0034,                 0.0034,                 0.0034
                     22,                 1.3169,                 1.4196,                 1.2951,                0.71331,                0.49854,                0.56562,                0.30804,                 1.6155,                 1.8459,                 1.5414,                0.00307,                0.00307,                0.00307
                     23,                 1.2592,                 1.3898,                 1.2706,                 0.6571,                0.45513,                0.50074,                0.27827,                 1.6215,                 1.9495,                 1.5167,                0.00274,                0.00274,                0.00274
                     24,                 1.2655,                 1.3131,                 1.2667,                0.65393,                0.52134,                0.55679,                 0.3028,                 1.5558,                 1.7116,                 1.4663,                0.00241,                0.00241,                0.00241
                     25,                 1.2419,                 1.2542,                 1.2406,                0.67304,                  0.555,                0.60913,                0.34048,                 1.5314,                 1.6376,                 1.4412,                0.00208,                0.00208,                0.00208
                     26,                 1.2457,                 1.2388,                 1.2411,                 0.7244,                0.56866,                0.64335,                0.36729,                 1.4941,                 1.5502,                 1.4198,                0.00175,                0.00175,                0.00175
                     27,                 1.2088,                 1.1837,                 1.2213,                0.77506,                0.60859,                0.69038,                0.40433,                 1.4753,                 1.4269,                 1.4302,                0.00142,                0.00142,                0.00142
                     28,                 1.1381,                 1.1089,                 1.1905,                0.75194,                0.62688,                 0.7069,                0.41128,                 1.4546,                 1.3872,                 1.4126,                0.00109,                0.00109,                0.00109
                     29,                 1.1459,                 1.0943,                 1.1895,                0.79181,                0.65306,                0.73738,                0.42839,                 1.4645,                 1.2544,                 1.4158,                0.00076,                0.00076,                0.00076
                     30,                 1.1204,                 1.0328,                 1.1721,                0.80831,                0.65793,                0.74905,                0.44504,                 1.4468,                 1.2379,                 1.3975,                0.00043,                0.00043,                0.00043
