                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.7288,                 3.9284,                 1.5829,                0.00328,                0.77579,                0.07925,                0.04103,                 1.4195,                 3.3192,                 1.3793,                 0.0901,                 0.0011,                 0.0011
                      2,                 1.5353,                 3.6669,                 1.4422,                0.00322,                0.82633,                0.15121,                0.07774,                  1.381,                 3.0817,                 1.2546,               0.079224,              0.0022241,              0.0022241
                      3,                 1.4931,                 3.3517,                  1.353,                0.00329,                0.82728,                0.19651,                0.09067,                 1.4844,                 3.1074,                 1.3456,               0.068269,               0.003269,               0.003269
                      4,                 1.4972,                 2.8066,                 1.3194,                0.00296,                0.76738,                0.17138,                0.07597,                 1.7139,                 3.1803,                  1.505,               0.057235,              0.0042347,              0.0042347
                      5,                 1.4898,                 2.4615,                 1.3048,                0.65332,                0.07837,                0.30994,                0.14305,                 1.5317,                 2.9235,                 1.3012,               0.046121,              0.0051212,              0.0051212
                      6,                 1.4937,                 2.2758,                 1.2956,                0.66738,                0.07164,                0.15437,                0.05977,                 1.8981,                  2.978,                 1.5104,               0.034929,              0.0059285,              0.0059285
                      7,                   1.52,                 2.1627,                 1.3472,                0.50074,                0.28518,                0.23963,                0.10482,                 1.8792,                 2.7617,                 1.5952,               0.023657,              0.0066566,              0.0066566
                      8,                 1.5183,                 1.9752,                 1.3517,                0.33398,                0.30474,                0.11042,                0.04721,                 2.1079,                  3.634,                 1.8412,               0.012305,              0.0073055,              0.0073055
                      9,                 1.5676,                 1.9418,                 1.3702,                0.33608,                0.27795,                0.16909,                0.06918,                 2.0531,                 3.2471,                 2.0446,                0.00736,                0.00736,                0.00736
                     10,                 1.5677,                  1.937,                 1.4093,                 0.2777,                0.36428,                0.18382,                 0.0708,                 2.1418,                 3.7514,                 2.0112,                0.00703,                0.00703,                0.00703
                     11,                 1.5546,                  1.866,                 1.3866,                0.28732,                0.26579,                0.11416,                 0.0553,                 2.1218,                 5.5372,                 2.3307,                 0.0067,                 0.0067,                 0.0067
                     12,                 1.5653,                 1.8379,                 1.3941,                0.28354,                0.35081,                0.15458,                0.06651,                 2.0677,                 5.4399,                 2.1064,                0.00637,                0.00637,                0.00637
                     13,                 1.5321,                 1.7675,                 1.3871,                0.34958,                0.42555,                0.29618,                0.13647,                 1.9933,                  3.314,                 1.8729,                0.00604,                0.00604,                0.00604
                     14,                 1.4993,                 1.6342,                  1.338,                0.43984,                0.39646,                 0.2821,                0.13694,                 1.8749,                 3.8346,                 1.8294,                0.00571,                0.00571,                0.00571
                     15,                 1.4527,                 1.5693,                 1.3417,                0.55665,                0.38854,                0.38439,                0.19716,                 1.7872,                 2.5321,                 1.7519,                0.00538,                0.00538,                0.00538
                     16,                 1.4604,                 1.5581,                 1.3408,                0.60634,                0.41368,                0.42611,                0.22649,                 1.7553,                 2.2058,                 1.7368,                0.00505,                0.00505,                0.00505
                     17,                 1.4169,                 1.4735,                 1.3082,                 0.6356,                0.40475,                0.44031,                0.21923,                  1.798,                 3.7272,                 1.7961,                0.00472,                0.00472,                0.00472
                     18,                 1.3362,                 1.3701,                 1.2499,                0.65053,                 0.5111,                0.53008,                0.26769,                 1.7285,                 2.1336,                 1.5909,                0.00439,                0.00439,                0.00439
                     19,                 1.3233,                 1.3349,                 1.2543,                0.66328,                0.46847,                0.50888,                0.27665,                 1.6487,                 2.1962,                 1.5518,                0.00406,                0.00406,                0.00406
                     20,                 1.3216,                 1.3378,                  1.241,                0.62099,                0.51328,                0.55616,                0.28993,                 1.6419,                 1.9545,                 1.5215,                0.00373,                0.00373,                0.00373
                     21,                 1.3083,                 1.4523,                 1.2423,                0.64711,                0.41998,                 0.4663,                0.25599,                 1.7327,                 2.2103,                   1.61,                 0.0034,                 0.0034,                 0.0034
                     22,                 1.2781,                 1.3349,                 1.2053,                0.62761,                0.48349,                0.51593,                0.28635,                  1.639,                 1.8814,                 1.5025,                0.00307,                0.00307,                0.00307
                     23,                 1.2704,                 1.2525,                 1.2256,                0.71866,                0.52933,                 0.5847,                0.33364,                 1.6267,                 1.6777,                 1.4972,                0.00274,                0.00274,                0.00274
                     24,                 1.2481,                 1.2412,                  1.197,                0.73214,                0.52791,                0.60758,                0.35018,                 1.6028,                 1.6193,                 1.4635,                0.00241,                0.00241,                0.00241
                     25,                 1.1774,                 1.1619,                 1.1653,                0.78431,                0.60867,                0.68494,                0.39684,                  1.507,                 1.3961,                 1.3921,                0.00208,                0.00208,                0.00208
                     26,                 1.1979,                 1.1463,                 1.1715,                 0.7742,                0.61399,                0.68551,                0.40291,                 1.4872,                 1.3719,                 1.3534,                0.00175,                0.00175,                0.00175
                     27,                 1.1522,                  1.076,                  1.156,                0.80805,                0.64051,                0.71624,                0.41406,                 1.4901,                 1.2789,                 1.3528,                0.00142,                0.00142,                0.00142
                     28,                 1.1673,                   1.04,                 1.1447,                0.80261,                0.64117,                0.71838,                0.42901,                 1.4542,                 1.2553,                 1.3202,                0.00109,                0.00109,                0.00109
                     29,                 1.1259,                 1.0093,                 1.1223,                0.82077,                0.66492,                0.74247,                0.44469,                  1.434,                 1.1857,                 1.3183,                0.00076,                0.00076,                0.00076
                     30,                 1.1046,                0.99828,                 1.1294,                0.83745,                0.66553,                0.75055,                0.44916,                 1.4369,                 1.1689,                  1.318,                0.00043,                0.00043,                0.00043
