                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.7985,                 3.9524,                 1.6743,                0.00325,                0.72925,                0.07139,                0.04047,                 1.4694,                 3.3818,                 1.4417,                 0.0919,                 0.0009,                 0.0009
                      2,                 1.6125,                 3.8338,                 1.5331,                0.00297,                0.73055,                0.11631,                0.06872,                 1.3628,                 3.2273,                 1.3481,               0.082837,              0.0018373,              0.0018373
                      3,                 1.5109,                 3.6083,                 1.4481,                0.00334,                0.79589,                0.21773,                0.12554,                 1.3604,                 3.1691,                 1.3247,               0.073709,              0.0027086,              0.0027086
                      4,                 1.5276,                 3.1686,                 1.3976,                0.00344,                0.84512,                0.29062,                0.15793,                 1.4315,                 3.0472,                 1.2992,               0.064514,              0.0035139,              0.0035139
                      5,                 1.4843,                 2.6722,                 1.4222,                0.48158,                0.23656,                0.30163,                0.16193,                 1.4686,                 3.1135,                 1.3581,               0.055253,              0.0042532,              0.0042532
                      6,                 1.4574,                 2.3305,                 1.3663,                0.78472,                0.03987,                0.27148,                0.14399,                 1.5783,                 3.0151,                 1.4107,               0.045927,              0.0049265,              0.0049265
                      7,                 1.4816,                 2.2347,                 1.3571,                0.76859,                0.02599,                0.21159,                0.09852,                 1.7855,                  3.102,                 1.5454,               0.036534,              0.0055338,              0.0055338
                      8,                 1.4839,                 2.1209,                 1.3459,                0.57157,                0.07567,                0.16181,                0.08403,                 1.6835,                 3.2071,                 1.6317,               0.027075,              0.0060751,              0.0060751
                      9,                 1.4652,                 2.0431,                 1.3312,                0.67891,                0.02936,                0.27872,                 0.1372,                 1.7153,                 3.0467,                 1.5486,                0.01755,              0.0065504,              0.0065504
                     10,                 1.5449,                 2.1028,                 1.4384,                0.64329,                0.03185,                0.16907,                0.07358,                 2.1098,                 3.1723,                 1.6878,              0.0079597,              0.0069597,              0.0069597
                     11,                  1.551,                 2.0432,                 1.4288,                0.35319,                0.03094,                0.04187,                0.01523,                 2.7042,                 3.4715,                 2.1021,                 0.0067,                 0.0067,                 0.0067
                     12,                 1.5491,                 1.9856,                 1.4493,                 0.0938,                 0.0476,                0.01776,                0.00762,                 2.7218,                  6.049,                 2.4741,                0.00637,                0.00637,                0.00637
                     13,                 1.5229,                 1.9488,                 1.4103,                0.29206,                 0.2762,                0.16895,                0.06547,                 2.1226,                 4.2878,                 2.0201,                0.00604,                0.00604,                0.00604
                     14,                 1.5044,                 1.8157,                 1.3753,                0.33988,                0.23268,                0.17593,                0.08579,                 1.8183,                 4.6119,                 1.7203,                0.00571,                0.00571,                0.00571
                     15,                 1.4932,                 1.7643,                 1.3961,                0.59767,                0.47059,                0.47867,                0.24446,                 1.7118,                 2.7009,                 1.7065,                0.00538,                0.00538,                0.00538
                     16,                 1.4244,                 1.6987,                 1.3484,                0.59294,                0.45758,                0.47861,                0.23041,                 1.7995,                 2.2691,                 1.7336,                0.00505,                0.00505,                0.00505
                     17,                 1.4446,                  1.625,                 1.3482,                0.40267,                0.37248,                0.29658,                0.13807,                 1.8311,                 2.5547,                 1.7692,                0.00472,                0.00472,                0.00472
                     18,                 1.4005,                 1.5591,                 1.3218,                0.51358,                0.40894,                0.39312,                0.19888,                 1.7553,                 2.1624,                 1.6752,                0.00439,                0.00439,                0.00439
                     19,                  1.387,                 1.5431,                 1.3138,                0.58879,                0.43719,                0.45628,                 0.2427,                 1.6623,                 2.0822,                 1.5772,                0.00406,                0.00406,                0.00406
                     20,                 1.3357,                 1.4754,                 1.2972,                0.70031,                0.50603,                0.55543,                0.30015,                 1.6287,                 1.7352,                 1.5193,                0.00373,                0.00373,                0.00373
                     21,                 1.3708,                 1.6499,                 1.3023,                0.66781,                 0.4657,                0.49381,                0.26411,                 1.6081,                  1.922,                 1.4944,                 0.0034,                 0.0034,                 0.0034
                     22,                 1.2787,                 1.4347,                 1.2543,                0.62985,                0.46833,                0.49623,                0.26435,                 1.6354,                 2.0369,                 1.5326,                0.00307,                0.00307,                0.00307
                     23,                  1.259,                 1.3773,                 1.2329,                0.70931,                0.49815,                0.56561,                0.31597,                 1.6176,                 1.8156,                  1.525,                0.00274,                0.00274,                0.00274
                     24,                 1.2565,                 1.3678,                 1.2509,                0.66184,                0.45693,                0.49917,                 0.2728,                 1.6287,                 2.0368,                 1.5192,                0.00241,                0.00241,                0.00241
                     25,                  1.227,                 1.2614,                 1.2169,                0.69894,                0.55268,                0.60031,                0.32553,                 1.5697,                 1.5963,                 1.4538,                0.00208,                0.00208,                0.00208
                     26,                 1.2119,                 1.2477,                 1.2157,                 0.7415,                0.58451,                0.64603,                0.36854,                 1.5276,                 1.5171,                 1.4327,                0.00175,                0.00175,                0.00175
                     27,                 1.1662,                 1.1597,                 1.1837,                0.75773,                0.60443,                0.68063,                0.38572,                 1.5108,                  1.454,                 1.3951,                0.00142,                0.00142,                0.00142
                     28,                 1.1266,                 1.1341,                 1.1468,                0.77514,                0.61294,                0.68318,                0.39401,                 1.5053,                 1.4474,                 1.3925,                0.00109,                0.00109,                0.00109
                     29,                 1.1415,                 1.1265,                  1.161,                0.83263,                0.64622,                0.73746,                0.42658,                 1.4728,                 1.2269,                  1.351,                0.00076,                0.00076,                0.00076
                     30,                 1.0934,                 1.0656,                 1.1258,                0.81537,                0.64563,                0.73506,                0.43033,                 1.4466,                 1.2279,                 1.3406,                0.00043,                0.00043,                0.00043
