                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.7641,                  3.992,                 1.6592,                0.00262,                0.64127,                0.05945,                 0.0324,                 1.5051,                 3.4441,                 1.5195,                 0.0919,                 0.0009,                 0.0009
                      2,                 1.5775,                 3.8934,                 1.5117,                0.00297,                0.72574,                0.10259,                0.05368,                 1.3956,                 3.2766,                 1.4139,               0.082837,              0.0018373,              0.0018373
                      3,                 1.4622,                 3.5779,                  1.436,                0.00349,                0.80893,                0.13221,                0.07147,                 1.3756,                  3.186,                 1.3202,               0.073709,              0.0027086,              0.0027086
                      4,                 1.4364,                 3.0848,                 1.3842,                0.00326,                0.83552,                 0.1827,                0.09606,                 1.3519,                 3.0893,                 1.2526,               0.064514,              0.0035139,              0.0035139
                      5,                   1.37,                 2.5503,                 1.3438,                0.76706,                0.18526,                0.23322,                0.11718,                 1.4741,                 2.9869,                  1.317,               0.055253,              0.0042532,              0.0042532
                      6,                 1.4222,                 2.2902,                 1.3258,                0.00311,                0.78861,                0.17969,                0.07766,                 1.6989,                 3.1901,                 1.5017,               0.045927,              0.0049265,              0.0049265
                      7,                 1.4653,                 2.1681,                  1.325,                0.00323,                0.82406,                0.12864,                0.05968,                 1.7131,                 3.2423,                 1.5766,               0.036534,              0.0055338,              0.0055338
                      8,                 1.5177,                 2.2276,                 1.3694,                0.66482,                0.07444,                0.28165,                  0.129,                 1.6926,                 2.9937,                 1.5857,               0.027075,              0.0060751,              0.0060751
                      9,                 1.4982,                 2.0414,                 1.3724,                 0.3839,                0.14952,                0.10482,                0.04535,                 2.0586,                 3.2553,                 2.1084,                0.01755,              0.0065504,              0.0065504
                     10,                 1.5165,                 2.0668,                 1.3735,                0.41882,                0.12582,                0.14572,                0.06872,                 2.0437,                 3.6125,                  2.283,              0.0079597,              0.0069597,              0.0069597
                     11,                  1.484,                 1.9577,                  1.359,                0.43462,                0.15403,                0.14938,                0.07039,                  2.147,                 3.4783,                 2.3691,                 0.0067,                 0.0067,                 0.0067
                     12,                 1.4851,                 1.9156,                 1.3931,                0.40966,                0.26302,                0.24125,                0.11094,                 2.0404,                  3.041,                 2.0558,                0.00637,                0.00637,                0.00637
                     13,                 1.4879,                  1.933,                  1.407,                0.20417,                0.25086,                0.10105,                0.03715,                 2.2721,                 3.9078,                 2.3062,                0.00604,                0.00604,                0.00604
                     14,                 1.5115,                 1.8891,                  1.396,                0.17735,                0.14956,                0.06538,                0.02452,                 2.4547,                 3.3223,                 2.2037,                0.00571,                0.00571,                0.00571
                     15,                 1.5341,                 1.7947,                 1.4191,                0.33869,                0.32446,                0.22464,                0.10865,                 2.0467,                 3.4088,                 2.0296,                0.00538,                0.00538,                0.00538
                     16,                 1.4837,                 1.7579,                 1.3865,                0.52959,                0.42301,                0.41576,                0.20576,                 1.8184,                 2.5652,                 1.8251,                0.00505,                0.00505,                0.00505
                     17,                 1.4017,                 1.6142,                 1.3412,                0.51332,                0.38705,                0.36812,                 0.1823,                  1.791,                 2.4444,                 1.7895,                0.00472,                0.00472,                0.00472
                     18,                 1.4214,                 1.5949,                 1.3238,                0.34793,                0.37971,                0.21277,                0.09864,                  1.908,                 3.2144,                 1.8741,                0.00439,                0.00439,                0.00439
                     19,                 1.3704,                 1.5338,                 1.3329,                 0.3944,                0.31871,                 0.2249,                0.11214,                  1.964,                  4.666,                 2.1505,                0.00406,                0.00406,                0.00406
                     20,                 1.3527,                  1.435,                 1.3057,                0.53175,                0.44872,                0.43021,                0.21898,                 1.7491,                 2.3942,                 1.7583,                0.00373,                0.00373,                0.00373
                     21,                 1.3661,                  1.628,                 1.3312,                0.57798,                0.33867,                0.36157,                0.19838,                 1.7519,                  2.617,                 1.8237,                 0.0034,                 0.0034,                 0.0034
                     22,                 1.3108,                 1.4895,                 1.3039,                0.49225,                0.39471,                0.33099,                0.17528,                 1.7246,                  2.612,                 1.7369,                0.00307,                0.00307,                0.00307
                     23,                 1.3082,                 1.4669,                 1.2994,                0.55761,                0.41622,                0.34707,                0.18277,                 1.6539,                 2.4005,                 1.6317,                0.00274,                0.00274,                0.00274
                     24,                 1.2776,                 1.4165,                  1.287,                0.62672,                0.47595,                0.51236,                0.27364,                 1.6844,                 1.8562,                 1.5801,                0.00241,                0.00241,                0.00241
                     25,                 1.2349,                  1.336,                 1.2523,                0.62284,                0.51808,                0.53998,                0.29469,                 1.5951,                 1.8301,                 1.5223,                0.00208,                0.00208,                0.00208
                     26,                 1.1965,                 1.2786,                 1.2401,                0.73388,                0.57843,                0.64511,                0.36399,                   1.56,                  1.526,                 1.5038,                0.00175,                0.00175,                0.00175
                     27,                 1.2204,                  1.284,                 1.2578,                0.67955,                0.56922,                 0.6258,                0.35148,                 1.5309,                 1.5929,                 1.4538,                0.00142,                0.00142,                0.00142
                     28,                 1.1639,                 1.1969,                  1.192,                0.72238,                0.60749,                0.66752,                0.37317,                 1.5147,                 1.4334,                 1.4612,                0.00109,                0.00109,                0.00109
                     29,                 1.1601,                 1.1573,                 1.1847,                0.76354,                 0.6387,                0.71347,                0.41618,                 1.4598,                  1.341,                 1.4192,                0.00076,                0.00076,                0.00076
                     30,                  1.125,                 1.1511,                 1.1731,                0.78533,                0.64486,                0.72476,                0.42731,                 1.4467,                 1.2956,                  1.407,                0.00043,                0.00043,                0.00043
