                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.7153,                 3.8868,                 1.6118,                0.00336,                0.77037,                0.09439,                0.04947,                 1.4389,                 3.3234,                 1.3857,                 0.0901,                 0.0011,                 0.0011
                      2,                 1.4983,                 3.6769,                 1.4552,                0.00305,                0.78477,                0.10547,                0.05128,                 1.4954,                 3.1195,                 1.3268,               0.079224,              0.0022241,              0.0022241
                      3,                 1.4015,                 3.2712,                 1.3368,                0.00315,                0.81263,                 0.1447,                0.05836,                 1.7906,                  3.152,                 1.4924,               0.068269,               0.003269,               0.003269
                      4,                 1.4642,                 2.8769,                 1.3401,                0.73063,                0.06779,                0.24781,                0.11483,                  1.623,                 2.9766,                 1.3716,               0.057235,              0.0042347,              0.0042347
                      5,                 1.4437,                 2.5007,                 1.2751,                0.61769,                 0.1165,                0.31681,                0.15032,                 1.5601,                 2.8929,                 1.3089,               0.046121,              0.0051212,              0.0051212
                      6,                 1.4275,                 2.2896,                 1.2924,                0.70715,                0.08921,                0.29795,                0.15802,                   1.62,                 2.9855,                 1.4776,               0.034929,              0.0059285,              0.0059285
                      7,                 1.4563,                 2.0821,                 1.3186,                0.30521,                0.17911,                0.16998,                0.07531,                 1.8297,                 3.0346,                 1.6976,               0.023657,              0.0066566,              0.0066566
                      8,                  1.457,                 2.0203,                 1.3515,                0.59584,                  0.134,                 0.1044,                0.04286,                 1.8685,                 3.2582,                 1.7744,               0.012305,              0.0073055,              0.0073055
                      9,                 1.5055,                  2.035,                  1.378,                0.61714,                0.10593,                0.13485,                0.05961,                 1.9491,                 3.1747,                 1.9388,                0.00736,                0.00736,                0.00736
                     10,                 1.5236,                 2.0047,                 1.4065,                0.19271,                0.17574,                0.08324,                0.03141,                 2.1164,                 3.1983,                 1.8173,                0.00703,                0.00703,                0.00703
                     11,                 1.5139,                 1.9117,                 1.3798,                0.34112,                0.26709,                0.20771,                0.08902,                 2.1676,                 3.7276,                 1.8897,                 0.0067,                 0.0067,                 0.0067
                     12,                  1.466,                 1.8185,                 1.3664,                0.35153,                0.30709,                0.23889,                0.10182,                 1.9722,                 3.4565,                 1.8339,                0.00637,                0.00637,                0.00637
                     13,                 1.4459,                 1.7467,                 1.3792,                 0.3609,                0.29922,                0.21385,                 0.0985,                 1.8488,                  5.645,                 1.7352,                0.00604,                0.00604,                0.00604
                     14,                 1.4052,                 1.6488,                 1.3252,                0.34649,                0.36853,                0.25962,                0.13013,                 2.0371,                 4.1242,                 2.2199,                0.00571,                0.00571,                0.00571
                     15,                 1.3842,                 1.5737,                 1.3307,                0.37997,                0.32712,                  0.255,                0.12498,                 1.9278,                  3.727,                  2.031,                0.00538,                0.00538,                0.00538
                     16,                 1.3979,                 1.5332,                 1.3318,                0.64381,                0.46841,                 0.4922,                0.26932,                 1.6363,                 2.0521,                 1.5832,                0.00505,                0.00505,                0.00505
                     17,                 1.3392,                 1.4608,                 1.3031,                0.57676,                0.46026,                0.46156,                0.23227,                 1.7231,                 2.7504,                 1.6483,                0.00472,                0.00472,                0.00472
                     18,                 1.2833,                 1.3559,                  1.268,                0.56599,                0.50505,                0.48761,                0.25901,                 1.6613,                 2.0748,                 1.5795,                0.00439,                0.00439,                0.00439
                     19,                 1.3278,                 1.3964,                 1.2957,                0.64487,                0.53445,                0.58087,                0.30381,                 1.6225,                 1.7862,                 1.5227,                0.00406,                0.00406,                0.00406
                     20,                 1.2723,                 1.3113,                 1.2581,                 0.6109,                0.46423,                0.51275,                0.26381,                  1.708,                 2.1948,                 1.6439,                0.00373,                0.00373,                0.00373
                     21,                 1.3136,                 1.4502,                 1.2778,                0.52885,                0.47339,                0.44428,                0.22612,                 1.7889,                 2.2832,                 1.7125,                 0.0034,                 0.0034,                 0.0034
                     22,                   1.31,                 1.3901,                 1.2858,                0.63934,                0.50902,                 0.5738,                0.31109,                 1.6339,                 1.9155,                 1.5241,                0.00307,                0.00307,                0.00307
                     23,                 1.2589,                 1.3529,                 1.2627,                0.62076,                0.52798,                0.53055,                0.30887,                 1.5201,                 1.7326,                 1.4422,                0.00274,                0.00274,                0.00274
                     24,                 1.2436,                 1.2674,                 1.2268,                0.68076,                0.58121,                0.62002,                0.37332,                 1.4902,                 1.5623,                 1.3867,                0.00241,                0.00241,                0.00241
                     25,                 1.2129,                 1.2156,                 1.2069,                 0.7047,                0.57931,                0.63332,                0.37034,                 1.5138,                 1.5542,                 1.3995,                0.00208,                0.00208,                0.00208
                     26,                  1.184,                 1.1625,                 1.2039,                0.66737,                0.60915,                0.63593,                0.36839,                 1.4743,                 1.4857,                 1.3724,                0.00175,                0.00175,                0.00175
                     27,                 1.1996,                 1.1331,                 1.1995,                0.73464,                0.63516,                0.69501,                0.39577,                 1.5192,                 1.3182,                 1.4054,                0.00142,                0.00142,                0.00142
                     28,                 1.1338,                 1.0824,                 1.1624,                0.73989,                0.61865,                0.68432,                0.40561,                 1.4638,                 1.3534,                  1.357,                0.00109,                0.00109,                0.00109
                     29,                 1.1273,                 1.0653,                 1.1478,                0.81182,                0.65312,                0.74575,                0.44085,                 1.4464,                 1.2125,                 1.3488,                0.00076,                0.00076,                0.00076
                     30,                 1.0933,                 1.0339,                  1.145,                0.82337,                0.68084,                0.77002,                0.46356,                 1.4133,                 1.1583,                 1.3291,                0.00043,                0.00043,                0.00043
