                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.8636,                 4.0842,                 1.6688,                0.00305,                0.76276,                 0.0412,                0.02047,                 1.4854,                 3.3506,                 1.4232,                 0.0964,                 0.0004,                 0.0004
                      2,                 1.7469,                 4.0007,                 1.6319,                0.00306,                0.75586,                0.05165,                0.02577,                 1.4564,                 3.3322,                 1.3982,                0.09187,              0.0008703,              0.0008703
                      3,                 1.7551,                 3.9331,                 1.6143,                0.00307,                0.76155,                0.07474,                0.04002,                  1.376,                 3.3005,                  1.349,               0.087308,              0.0013076,              0.0013076
                      4,                 1.6044,                 3.8312,                 1.5181,                0.00315,                0.78994,                0.10922,                0.06036,                 1.3479,                 3.1776,                 1.3035,               0.082712,              0.0017119,              0.0017119
                      5,                 1.4904,                 3.5958,                 1.4375,                0.00319,                 0.8155,                0.12968,                0.06974,                 1.3948,                 3.1405,                 1.2803,               0.078083,              0.0020832,              0.0020832
                      6,                 1.5433,                 3.5007,                 1.4461,                0.00324,                0.83249,                0.14175,                 0.0707,                 1.4575,                 3.1352,                 1.2823,               0.073422,              0.0024215,              0.0024215
                      7,                 1.4958,                 3.1712,                 1.3821,                0.00325,                0.83285,                0.15812,                0.08143,                 1.4709,                 3.1378,                 1.2958,               0.068727,              0.0027268,              0.0027268
                      8,                 1.4855,                 2.9286,                 1.4068,                0.00327,                0.82828,                0.18784,                0.08796,                 1.5335,                 3.1753,                 1.3851,               0.063999,              0.0029991,              0.0029991
                      9,                 1.4523,                 2.6204,                 1.3559,                0.00336,                0.86174,                0.27669,                0.13093,                 1.3869,                 2.9843,                 1.2623,               0.059238,              0.0032384,              0.0032384
                     10,                 1.4806,                 2.5262,                 1.3623,                0.00337,                0.85339,                0.22783,                0.09643,                 1.5889,                  3.033,                 1.4258,               0.054445,              0.0034447,              0.0034447
                     11,                 1.5017,                  2.288,                 1.3285,                 0.3981,                0.12326,                0.27176,                0.12101,                 1.6206,                 2.9704,                 1.4092,               0.049618,               0.003618,               0.003618
                     12,                 1.4301,                 2.2155,                 1.3133,                0.94054,                0.03074,                0.30281,                0.13918,                 1.5918,                 2.9488,                  1.382,               0.044758,              0.0037583,              0.0037583
                     13,                 1.3762,                 2.1277,                 1.3114,                0.85523,                0.04672,                0.28325,                0.14081,                 1.4871,                 2.9743,                 1.3185,               0.039866,              0.0038656,              0.0038656
                     14,                 1.3973,                 2.0926,                 1.2917,                 0.8312,                0.04345,                0.26173,                0.11718,                 1.5354,                 2.8885,                 1.3485,                0.03494,              0.0039399,              0.0039399
                     15,                 1.3778,                 2.0018,                 1.2847,                0.76741,                0.05851,                0.17492,                0.08426,                 1.5177,                 3.0128,                 1.4152,               0.029981,              0.0039812,              0.0039812
                     16,                 1.4205,                 2.0107,                 1.3168,                0.47313,                0.04938,                0.13889,                0.06299,                  1.731,                 3.0876,                 1.5734,               0.024989,              0.0039895,              0.0039895
                     17,                  1.441,                 1.9475,                 1.2925,                0.10771,                0.04004,                0.02248,                0.00939,                 2.3453,                 3.7318,                 1.9677,               0.019965,              0.0039648,              0.0039648
                     18,                 1.3419,                 1.8731,                  1.245,                0.54125,                0.26206,                0.30835,                0.14567,                 1.7226,                 2.6962,                  1.577,               0.014907,              0.0039071,              0.0039071
                     19,                 1.3621,                 1.8194,                 1.2656,                0.37359,                0.26505,                 0.2019,                0.09659,                 1.6742,                 2.7251,                    1.5,              0.0098164,              0.0038164,              0.0038164
                     20,                 1.3765,                 1.7481,                 1.2409,                0.28086,                0.26858,                0.15946,                 0.0741,                 1.6749,                 2.6786,                 1.4953,              0.0046927,              0.0036927,              0.0036927
                     21,                 1.3092,                 1.9317,                 1.2588,                0.55174,                0.31924,                0.36905,                0.18433,                 1.6191,                 2.5887,                 1.5662,                 0.0034,                 0.0034,                 0.0034
                     22,                 1.3876,                 2.1254,                 1.3463,                0.52997,                0.34082,                0.34166,                0.16459,                  1.634,                 2.6056,                 1.6176,                0.00307,                0.00307,                0.00307
                     23,                 1.3948,                 1.9989,                 1.3659,                0.49646,                0.34738,                0.32501,                0.15333,                 1.6894,                 2.6224,                 1.6602,                0.00274,                0.00274,                0.00274
                     24,                 1.3327,                 1.9006,                 1.2662,                 0.5726,                0.42037,                0.43257,                0.22237,                 1.5844,                 2.3418,                 1.5105,                0.00241,                0.00241,                0.00241
                     25,                 1.2555,                 1.8347,                 1.2017,                0.60164,                0.41776,                0.45581,                0.23763,                 1.5847,                  2.376,                 1.5118,                0.00208,                0.00208,                0.00208
                     26,                 1.2867,                 1.7171,                 1.2289,                0.60711,                0.41071,                0.45694,                0.23928,                  1.618,                 2.4202,                 1.5661,                0.00175,                0.00175,                0.00175
                     27,                 1.2366,                 1.6896,                  1.192,                0.62828,                0.43609,                0.48903,                0.25489,                 1.5928,                 2.3315,                 1.5354,                0.00142,                0.00142,                0.00142
                     28,                 1.2589,                 1.6704,                 1.2039,                0.63832,                0.50123,                0.53144,                0.28361,                 1.5877,                 2.1702,                 1.5219,                0.00109,                0.00109,                0.00109
                     29,                 1.2269,                 1.6406,                 1.1519,                0.66072,                0.51615,                0.55865,                0.30062,                 1.5822,                 2.0395,                 1.5109,                0.00076,                0.00076,                0.00076
                     30,                 1.1808,                 1.6013,                 1.1679,                0.66279,                0.54462,                0.58397,                 0.3213,                 1.5438,                 1.9282,                 1.4684,                0.00043,                0.00043,                0.00043
