                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.7488,                 4.0061,                 1.6185,                0.00276,                0.67403,                 0.0653,                0.03957,                 1.4929,                 3.3741,                 1.4507,                 0.0964,                 0.0004,                 0.0004
                      2,                 1.7886,                 4.0312,                 1.6617,                0.00285,                0.70037,                 0.0738,                0.04507,                 1.4422,                 3.3561,                 1.4177,                0.09187,              0.0008703,              0.0008703
                      3,                 1.6439,                 3.8814,                 1.5523,                0.00299,                0.74148,                0.09157,                0.05417,                 1.4007,                 3.2201,                 1.3727,               0.087308,              0.0013076,              0.0013076
                      4,                 1.5134,                 3.7163,                 1.4557,                0.00308,                0.78427,                0.13939,                0.07715,                 1.3702,                 3.1719,                 1.3057,               0.082712,              0.0017119,              0.0017119
                      5,                 1.5475,                 3.5475,                 1.4448,                0.00315,                0.80527,                0.17257,                0.09261,                 1.3817,                 3.1231,                 1.2687,               0.078083,              0.0020832,              0.0020832
                      6,                 1.5007,                 3.4157,                 1.4187,                0.00329,                0.84004,                0.17397,                0.09044,                 1.4341,                 3.1211,                 1.2874,               0.073422,              0.0024215,              0.0024215
                      7,                 1.4994,                 3.1341,                 1.3741,                0.00328,                0.84118,                0.22425,                0.11817,                 1.4619,                 3.0825,                 1.2844,               0.068727,              0.0027268,              0.0027268
                      8,                  1.496,                 2.8359,                 1.3902,                0.00323,                 0.8308,                0.23782,                0.12895,                 1.4409,                 3.0777,                 1.2898,               0.063999,              0.0029991,              0.0029991
                      9,                 1.4341,                 2.6294,                 1.3318,                0.17884,                0.49457,                0.26561,                0.14494,                 1.4445,                 3.0312,                 1.2788,               0.059238,              0.0032384,              0.0032384
                     10,                 1.4607,                 2.5643,                 1.3584,                0.64422,                0.24494,                0.28131,                0.14251,                 1.4625,                 2.9408,                 1.2555,               0.054445,              0.0034447,              0.0034447
                     11,                 1.4171,                 2.3257,                 1.3157,                0.78401,                0.10117,                0.32988,                0.15442,                 1.5566,                 2.8648,                 1.3172,               0.049618,               0.003618,               0.003618
                     12,                 1.4192,                 2.2212,                 1.2838,                0.79943,                0.13363,                0.36097,                0.19045,                 1.4339,                 2.7207,                 1.2463,               0.044758,              0.0037583,              0.0037583
                     13,                 1.3827,                 2.1638,                 1.3059,                0.68065,                0.14549,                0.35735,                 0.1854,                 1.4345,                 2.6951,                 1.2375,               0.039866,              0.0038656,              0.0038656
                     14,                 1.3802,                 2.1418,                 1.2694,                0.79179,                 0.1412,                 0.4016,                0.22668,                 1.4395,                 2.7167,                 1.2832,                0.03494,              0.0039399,              0.0039399
                     15,                 1.4259,                 2.0824,                 1.2902,                 0.7437,                0.10757,                0.34746,                0.18649,                 1.5233,                 2.8963,                 1.4199,               0.029981,              0.0039812,              0.0039812
                     16,                  1.421,                 1.9792,                 1.2906,                0.73299,                0.07299,                0.22924,                0.12135,                 1.6483,                 3.2399,                  1.667,               0.024989,              0.0039895,              0.0039895
                     17,                 1.3667,                 1.8806,                 1.2445,                0.64723,                0.09234,                0.22653,                0.11969,                 1.6514,                 3.1732,                 1.6824,               0.019965,              0.0039648,              0.0039648
                     18,                 1.4157,                 1.9203,                 1.2726,                 0.6397,                0.21113,                0.31001,                0.16968,                 1.5635,                  2.732,                  1.435,               0.014907,              0.0039071,              0.0039071
                     19,                 1.3791,                 1.8967,                 1.2358,                 0.7013,                0.25256,                0.36392,                0.19318,                 1.5327,                 2.5955,                  1.379,              0.0098164,              0.0038164,              0.0038164
                     20,                 1.3148,                 1.7076,                 1.2216,                0.53344,                0.26297,                0.30044,                0.14787,                 1.5593,                 2.6258,                 1.3945,              0.0046927,              0.0036927,              0.0036927
                     21,                 1.2899,                 2.0261,                 1.2265,                0.72659,                0.15084,                0.31849,                0.14083,                 1.7151,                 2.8969,                 1.5323,                 0.0034,                 0.0034,                 0.0034
                     22,                 1.3517,                 1.9657,                  1.236,                0.69984,                0.16489,                0.29887,                0.14591,                 1.7186,                 2.9565,                 1.6183,                0.00307,                0.00307,                0.00307
                     23,                 1.2728,                 1.8773,                 1.1928,                0.64261,                0.25614,                0.33448,                0.17451,                 1.6882,                 2.8541,                 1.6149,                0.00274,                0.00274,                0.00274
                     24,                 1.3148,                 1.8058,                 1.1986,                0.57155,                0.35069,                0.38546,                0.20383,                 1.6598,                 2.5874,                 1.5694,                0.00241,                0.00241,                0.00241
                     25,                  1.205,                 1.7185,                 1.1361,                0.60132,                0.37579,                0.41271,                0.20923,                 1.6748,                 2.4214,                 1.5514,                0.00208,                0.00208,                0.00208
