                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.7852,                 4.0355,                 1.6593,                0.00273,                0.67237,                0.07729,                0.04082,                 1.4421,                 3.3598,                 1.4077,                 0.0901,                 0.0011,                 0.0011
                      2,                 1.6014,                 3.8445,                 1.5582,                0.00327,                0.76558,                0.12302,                0.06266,                  1.447,                 3.2183,                 1.3841,               0.079224,              0.0022241,              0.0022241
                      3,                 1.5254,                 3.4514,                 1.4108,                0.00335,                0.83216,                0.24524,                0.13244,                 1.4035,                 3.0816,                 1.3012,               0.068269,               0.003269,               0.003269
                      4,                 1.4867,                 2.9294,                 1.3465,                0.64531,                0.03655,                0.18492,                0.08419,                 1.7216,                  3.112,                 1.4935,               0.057235,              0.0042347,              0.0042347
                      5,                 1.5362,                 2.5496,                 1.3545,                 0.5719,                0.18832,                0.33569,                0.16924,                  1.511,                 2.6727,                 1.2846,               0.046121,              0.0051212,              0.0051212
                      6,                 1.5114,                 2.3788,                 1.3278,                0.79842,                0.01897,                0.18805,                0.08412,                 1.8058,                 3.0532,                 1.5398,               0.034929,              0.0059285,              0.0059285
                      7,                 1.5076,                 2.2311,                 1.3815,                0.49373,                0.12799,                0.22966,                  0.106,                 1.7601,                 2.9116,                 1.5308,               0.023657,              0.0066566,              0.0066566
                      8,                 1.5706,                 2.1202,                  1.415,                0.40564,                0.30539,                0.26195,                0.10446,                 2.0835,                 2.8618,                 1.8909,               0.012305,              0.0073055,              0.0073055
                      9,                 1.5907,                 2.1433,                 1.4334,                0.34326,                0.15655,                0.13668,                0.06116,                 2.0261,                 3.2468,                 1.9745,                0.00736,                0.00736,                0.00736
                     10,                  1.576,                  2.039,                 1.4552,                0.16268,                0.13926,                0.05391,                0.02167,                 2.3611,                  3.986,                  2.401,                0.00703,                0.00703,                0.00703
                     11,                 1.5673,                  1.958,                 1.4551,                0.20566,                0.19355,                0.11729,                0.05406,                 2.1185,                 8.7718,                 2.3964,                 0.0067,                 0.0067,                 0.0067
                     12,                 1.5348,                 1.8547,                 1.4257,                0.44875,                0.30585,                0.27698,                0.13038,                  1.883,                 3.1027,                 1.8752,                0.00637,                0.00637,                0.00637
                     13,                 1.5358,                 1.8031,                 1.4245,                0.45269,                 0.3908,                0.35499,                0.18024,                 1.7889,                 3.0359,                 1.7751,                0.00604,                0.00604,                0.00604
                     14,                 1.4915,                 1.7177,                 1.3753,                0.42776,                0.41268,                0.37466,                 0.1952,                 1.7371,                 2.8684,                 1.6271,                0.00571,                0.00571,                0.00571
                     15,                 1.4826,                 1.6641,                 1.3687,                0.40871,                0.28592,                 0.2689,                0.13445,                 1.9805,                 3.4236,                 2.0181,                0.00538,                0.00538,                0.00538
                     16,                 1.4324,                 1.5695,                 1.3454,                0.47491,                0.36767,                0.33884,                 0.1723,                 1.8319,                 3.0509,                 1.7403,                0.00505,                0.00505,                0.00505
                     17,                 1.4299,                 1.5349,                 1.3208,                0.51315,                 0.3844,                0.33655,                0.17516,                  1.691,                 2.7577,                 1.5833,                0.00472,                0.00472,                0.00472
                     18,                 1.3926,                 1.4568,                 1.2944,                0.59513,                0.49148,                0.49089,                0.26096,                 1.6355,                 1.9986,                 1.5794,                0.00439,                0.00439,                0.00439
                     19,                 1.3603,                 1.4133,                 1.3125,                0.59327,                0.46759,                0.46533,                0.27009,                 1.5847,                 2.1292,                 1.5481,                0.00406,                0.00406,                0.00406
                     20,                 1.3774,                 1.3721,                 1.2867,                0.72705,                0.54751,                0.60635,                0.33962,                 1.5707,                 1.6876,                 1.4396,                0.00373,                0.00373,                0.00373
                     21,                 1.3614,                 1.5083,                 1.2719,                0.59447,                0.51254,                0.48618,                 0.2599,                 1.6265,                 1.9255,                 1.5092,                 0.0034,                 0.0034,                 0.0034
                     22,                 1.3548,                  1.461,                 1.2919,                0.74424,                0.57518,                0.64334,                0.35941,                 1.5662,                 1.5912,                 1.4312,                0.00307,                0.00307,                0.00307
                     23,                  1.302,                 1.3443,                 1.2601,                0.67395,                0.55512,                0.57167,                0.31331,                 1.5766,                 1.6985,                 1.4357,                0.00274,                0.00274,                0.00274
                     24,                 1.2981,                 1.2952,                 1.2545,                0.73055,                 0.5739,                0.62275,                0.34657,                  1.536,                 1.5608,                 1.4038,                0.00241,                0.00241,                0.00241
                     25,                 1.2525,                 1.1982,                 1.2129,                 0.7452,                0.63087,                0.68715,                0.38248,                 1.5136,                 1.3853,                 1.3799,                0.00208,                0.00208,                0.00208
                     26,                 1.2549,                 1.1672,                 1.2081,                0.70025,                 0.5859,                0.62557,                 0.3568,                 1.5122,                 1.5477,                 1.3689,                0.00175,                0.00175,                0.00175
                     27,                 1.2134,                 1.1561,                 1.2029,                0.77063,                0.64053,                0.69534,                0.40242,                 1.4711,                 1.3255,                 1.3469,                0.00142,                0.00142,                0.00142
                     28,                 1.1813,                 1.1095,                 1.1807,                0.80992,                0.65291,                0.73074,                0.42765,                 1.4568,                 1.2717,                 1.3303,                0.00109,                0.00109,                0.00109
                     29,                 1.1514,                  1.035,                 1.1511,                0.78771,                 0.6516,                0.72059,                0.42343,                 1.4426,                 1.3093,                 1.3162,                0.00076,                0.00076,                0.00076
                     30,                  1.168,                 1.0466,                 1.1677,                0.80999,                0.64454,                0.72261,                0.42861,                 1.4134,                 1.2939,                 1.2944,                0.00043,                0.00043,                0.00043
