                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.7454,                 3.9848,                 1.6746,                0.00301,                 0.7162,                 0.0618,                 0.0349,                 1.4786,                 3.3522,                 1.4257,                 0.0937,                 0.0007,                 0.0007
                      2,                 1.7632,                 4.1459,                 1.6639,                0.00298,                0.75238,                0.07868,                0.04326,                 1.4156,                 3.3096,                 1.3745,                0.08645,              0.0014505,              0.0014505
                      3,                 1.5766,                 3.7228,                 1.4788,                0.00322,                0.78627,                0.14025,                0.07894,                 1.3857,                 3.1818,                 1.3525,               0.079148,              0.0021482,              0.0021482
                      4,                 1.3479,                 3.5893,                 1.3113,                0.00335,                 0.7825,                0.21064,                0.11487,                 1.3873,                 3.1699,                 1.3471,               0.071793,              0.0027931,              0.0027931
                      5,                 1.5445,                  3.254,                 1.3605,                0.00325,                0.82636,                0.26178,                0.12718,                 1.5184,                 3.1264,                 1.3703,               0.064385,              0.0033852,              0.0033852
                      6,                 1.4659,                 3.0082,                 1.3339,                0.00305,                0.77387,                0.25158,                0.10905,                 1.7209,                 3.2415,                 1.5607,               0.056925,              0.0039245,              0.0039245
                      7,                 1.4478,                 2.7806,                 1.3093,                0.23299,                0.49958,                0.24829,                0.10763,                 1.5668,                 3.0644,                 1.3595,               0.049411,               0.004411,               0.004411
                      8,                 1.4654,                 2.6893,                 1.2967,                 0.0409,                0.70302,                0.29889,                0.14565,                 1.5089,                 3.0372,                 1.4334,               0.041845,              0.0048447,              0.0048447
                      9,                 1.4239,                 2.5107,                 1.3256,                0.42159,                0.20537,                0.25843,                0.11791,                 1.6318,                 2.7903,                  1.458,               0.034226,              0.0052256,              0.0052256
                     10,                 1.5096,                  2.401,                 1.3168,                0.37921,                0.17635,                0.20566,                0.09418,                 1.6351,                 2.8019,                 1.5218,               0.026554,              0.0055537,              0.0055537
                     11,                 1.4853,                 2.2219,                 1.3379,                0.46572,                0.18593,                0.23932,                0.10565,                 1.7541,                 2.8199,                  1.557,               0.018829,               0.005829,               0.005829
                     12,                 1.4483,                 2.1214,                 1.3162,                 0.4079,                0.04004,                0.07667,                0.03582,                 1.9115,                 3.4987,                 1.9341,               0.011052,              0.0060515,              0.0060515
                     13,                 1.5443,                 2.1764,                 1.3834,                0.29569,                0.17851,                0.11531,                0.05217,                 2.0748,                 3.4998,                 2.1861,                0.00604,                0.00604,                0.00604
                     14,                 1.5713,                  2.183,                 1.3667,                0.27629,                0.25521,                0.17779,                0.08634,                 1.9397,                 3.0073,                 1.9453,                0.00571,                0.00571,                0.00571
