                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.7162,                 3.9713,                 1.6424,                0.00338,                0.69551,                0.02879,                  0.016,                 1.5044,                 3.4054,                 1.4771,                 0.0964,                 0.0004,                 0.0004
                      2,                 1.6378,                 3.9723,                 1.5838,                0.00286,                0.70526,                0.04894,                0.02738,                 1.4571,                  3.366,                 1.4285,                0.09187,              0.0008703,              0.0008703
                      3,                 1.6489,                 3.9251,                 1.5775,                0.00304,                0.74427,                0.05961,                0.03258,                 1.4549,                 3.2606,                 1.4164,               0.087308,              0.0013076,              0.0013076
                      4,                 1.4707,                 3.8173,                 1.4716,                0.00307,                0.78386,                0.08263,                0.04442,                 1.3935,                 3.1725,                 1.3429,               0.082712,              0.0017119,              0.0017119
                      5,                 1.3887,                 3.6834,                 1.4223,                0.00308,                0.78495,                0.08718,                0.04472,                 1.4861,                 3.1687,                 1.3798,               0.078083,              0.0020832,              0.0020832
                      6,                  1.348,                 3.5864,                 1.3507,                 0.0029,                0.74432,                0.09262,                0.04447,                 1.5731,                 3.1826,                 1.4205,               0.073422,              0.0024215,              0.0024215
                      7,                  1.345,                 3.3969,                 1.3418,                0.00299,                0.76351,                0.11759,                0.05455,                 1.5865,                 3.1659,                 1.4274,               0.068727,              0.0027268,              0.0027268
                      8,                 1.3239,                 3.2134,                 1.3219,                0.00318,                0.79211,                0.15405,                0.06776,                 1.6243,                  3.167,                 1.4551,               0.063999,              0.0029991,              0.0029991
                      9,                 1.4071,                 3.0674,                 1.3255,                 0.0031,                0.79959,                0.23006,                0.10261,                 1.5559,                 3.0632,                 1.3495,               0.059238,              0.0032384,              0.0032384
                     10,                 1.4335,                 2.8527,                  1.345,                0.72935,                0.06422,                0.20107,                0.08586,                  1.637,                  3.096,                 1.4079,               0.054445,              0.0034447,              0.0034447
                     11,                 1.4141,                 2.4941,                 1.2978,                0.86033,                0.04894,                0.22358,                0.10405,                 1.6666,                 3.0383,                  1.418,               0.049618,               0.003618,               0.003618
                     12,                 1.3812,                  2.325,                 1.2778,                0.78478,                0.08518,                0.23172,                0.10544,                 1.6325,                 2.9305,                  1.361,               0.044758,              0.0037583,              0.0037583
                     13,                 1.4201,                 2.2945,                 1.3115,                0.79011,                0.15597,                0.27096,                0.12106,                 1.6911,                  2.793,                 1.3733,               0.039866,              0.0038656,              0.0038656
                     14,                 1.3762,                 2.1065,                 1.3055,                0.53085,                 0.2444,                0.32114,                0.15148,                 1.6761,                 2.6536,                 1.3789,                0.03494,              0.0039399,              0.0039399
                     15,                 1.4041,                 2.1381,                 1.2901,                 0.5977,                 0.1897,                0.31524,                0.13556,                 1.7423,                 2.6908,                 1.4158,               0.029981,              0.0039812,              0.0039812
                     16,                 1.3288,                  1.943,                 1.2891,                 0.6247,                0.11034,                0.23789,                 0.0957,                 1.8424,                 2.9641,                 1.5376,               0.024989,              0.0039895,              0.0039895
                     17,                 1.3935,                 1.9496,                 1.3236,                0.65437,                0.27879,                0.39826,                0.19628,                 1.6198,                 2.6235,                  1.394,               0.019965,              0.0039648,              0.0039648
                     18,                 1.3018,                 1.8206,                 1.2633,                0.69307,                0.27888,                0.41311,                0.21862,                 1.5811,                 2.6844,                 1.4174,               0.014907,              0.0039071,              0.0039071
                     19,                 1.3373,                 1.7868,                  1.257,                 0.6753,                0.27591,                 0.3878,                0.20192,                 1.6224,                 2.7075,                 1.4641,              0.0098164,              0.0038164,              0.0038164
                     20,                 1.3687,                  1.788,                 1.2751,                0.52114,                0.21117,                0.24664,                0.12914,                 1.7377,                 3.5071,                 1.7025,              0.0046927,              0.0036927,              0.0036927
                     21,                 1.3862,                 2.1124,                 1.2866,                0.58395,                0.13982,                0.22459,                0.11304,                 1.8143,                 3.3188,                  1.752,                 0.0034,                 0.0034,                 0.0034
                     22,                 1.2938,                 1.9875,                 1.2485,                0.65739,                 0.2086,                0.31413,                0.15163,                 1.7893,                 2.8951,                 1.6087,                0.00307,                0.00307,                0.00307
                     23,                 1.3093,                 1.8921,                 1.2215,                0.54713,                0.21404,                0.26106,                0.14912,                 1.7112,                 3.1385,                 1.6701,                0.00274,                0.00274,                0.00274
                     24,                 1.2411,                 1.8033,                 1.2093,                 0.5106,                 0.2682,                0.24745,                0.14352,                 1.6741,                 3.1865,                 1.6293,                0.00241,                0.00241,                0.00241
                     25,                 1.1804,                  1.698,                 1.1784,                0.63666,                0.12875,                0.19746,                0.11197,                 1.6628,                 3.3152,                 1.6398,                0.00208,                0.00208,                0.00208
                     26,                 1.2038,                 1.6325,                 1.1879,                0.60024,                0.35208,                0.37942,                0.20979,                  1.576,                 2.6034,                 1.4864,                0.00175,                0.00175,                0.00175
                     27,                 1.1712,                 1.6397,                 1.1767,                 0.6048,                 0.3588,                0.39902,                0.21787,                  1.581,                 2.5402,                  1.495,                0.00142,                0.00142,                0.00142
                     28,                 1.1607,                 1.6114,                 1.1686,                0.61325,                0.42289,                0.48079,                0.26307,                 1.5696,                 2.3475,                  1.446,                0.00109,                0.00109,                0.00109
                     29,                 1.1509,                 1.4997,                 1.1555,                0.61489,                0.48248,                 0.5433,                0.30127,                  1.533,                 2.1505,                 1.3888,                0.00076,                0.00076,                0.00076
                     30,                 1.1278,                 1.4958,                 1.1421,                0.64021,                0.52295,                0.58618,                0.33334,                 1.5084,                 1.9837,                  1.357,                0.00043,                0.00043,                0.00043
