                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.7334,                 3.9351,                 1.5783,                0.00246,                0.59022,                0.04139,                0.02407,                  1.524,                  3.438,                 1.5256,                 0.0964,                 0.0004,                 0.0004
                      2,                 1.7094,                 3.9878,                 1.5926,                0.00248,                0.59558,                0.05097,                0.02963,                 1.4985,                 3.4296,                 1.5092,                0.09187,              0.0008703,              0.0008703
                      3,                 1.6477,                 3.8755,                 1.5483,                0.00275,                0.61828,                0.04979,                0.03026,                 1.4585,                 3.3358,                 1.5163,               0.087308,              0.0013076,              0.0013076
                      4,                 1.4642,                 3.7991,                  1.434,                0.00293,                0.70927,                 0.0961,                0.05763,                 1.3405,                 3.2334,                 1.3631,               0.082712,              0.0017119,              0.0017119
                      5,                 1.4011,                 3.5794,                 1.3738,                0.00298,                0.69959,                0.06844,                0.03845,                 1.5113,                 3.2877,                 1.5055,               0.078083,              0.0020832,              0.0020832
                      6,                 1.3851,                 3.4163,                 1.3686,                 0.0032,                0.80812,                0.19906,                 0.1077,                 1.3541,                 3.1336,                 1.2896,               0.073422,              0.0024215,              0.0024215
                      7,                  1.442,                 3.1508,                 1.4026,                0.00331,                0.84671,                0.25232,                0.13364,                 1.3447,                 3.0972,                 1.2684,               0.068727,              0.0027268,              0.0027268
                      8,                 1.4677,                 2.9123,                 1.4495,                0.00344,                0.84713,                0.23352,                 0.1177,                  1.396,                 3.1164,                 1.3285,               0.063999,              0.0029991,              0.0029991
                      9,                 1.4153,                 2.6673,                 1.3853,                0.00328,                0.81972,                0.21946,                 0.1118,                 1.4592,                 3.1587,                 1.3938,               0.059238,              0.0032384,              0.0032384
                     10,                 1.4797,                 2.5818,                 1.4229,                0.00305,                0.78029,                0.20752,                0.09832,                 1.5719,                  3.215,                 1.4334,               0.054445,              0.0034447,              0.0034447
                     11,                 1.3985,                 2.3858,                  1.357,                0.79039,                0.04362,                0.23819,                0.11865,                 1.5278,                 3.2092,                 1.4261,               0.049618,               0.003618,               0.003618
