                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.7981,                 4.0347,                 1.6868,                 0.0028,                0.68147,                 0.0665,                0.03678,                 1.4243,                 3.3616,                 1.4128,                 0.0901,                 0.0011,                 0.0011
                      2,                 1.5523,                 3.7029,                 1.5063,                0.00325,                0.80263,                0.14096,                0.07452,                 1.4506,                 3.1332,                 1.3222,               0.079224,              0.0022241,              0.0022241
                      3,                 1.4847,                 3.3087,                 1.3752,                0.00303,                0.76746,                 0.1897,                0.09173,                 1.5468,                 3.1282,                 1.3791,               0.068269,               0.003269,               0.003269
                      4,                 1.4646,                 2.8175,                 1.3267,                0.70824,                0.07505,                0.15911,                0.06546,                 1.7955,                 3.1183,                 1.4656,               0.057235,              0.0042347,              0.0042347
                      5,                 1.5102,                 2.5311,                 1.3463,                0.74318,                0.08378,                0.23305,                0.10257,                 1.6905,                 2.8188,                 1.3852,               0.046121,              0.0051212,              0.0051212
                      6,                 1.4637,                 2.2035,                 1.3005,                0.00304,                0.67764,                0.10932,                0.05045,                  1.931,                 3.5073,                 1.9765,               0.034929,              0.0059285,              0.0059285
                      7,                 1.5003,                 2.1865,                 1.3422,                0.57415,                0.10057,                 0.2193,                0.09587,                 2.0717,                 3.0966,                 1.9335,               0.023657,              0.0066566,              0.0066566
                      8,                  1.549,                 2.1633,                 1.3974,                0.53014,                0.03547,                0.07284,                0.03303,                 2.2621,                 3.8213,                 2.3561,               0.012305,              0.0073055,              0.0073055
                      9,                 1.6147,                 2.1434,                 1.4018,                0.50838,                 0.0238,                0.00185,                0.00056,                  3.234,                  5.784,                 4.3036,                0.00736,                0.00736,                0.00736
                     10,                 1.6185,                 2.0878,                 1.4551,                0.51078,                 0.0177,                0.01291,                0.00537,                 2.6534,                 16.285,                  3.249,                0.00703,                0.00703,                0.00703
                     11,                 1.5791,                 1.9623,                 1.4157,                0.17345,                0.02395,                0.00937,                0.00426,                 3.0114,                 5.8947,                  2.947,                 0.0067,                 0.0067,                 0.0067
                     12,                 1.5621,                 1.8604,                 1.3958,                0.06489,                0.07511,                0.02078,                0.00783,                 2.3611,                 4.3772,                 2.3395,                0.00637,                0.00637,                0.00637
                     13,                  1.501,                 1.8114,                 1.3784,                0.26802,                0.20276,                0.10627,                0.04836,                 2.2741,                 4.0752,                 2.3474,                0.00604,                0.00604,                0.00604
                     14,                   1.43,                 1.6425,                 1.3347,                0.44053,                 0.3494,                0.29969,                0.15067,                 1.8955,                 3.5508,                 1.8708,                0.00571,                0.00571,                0.00571
                     15,                 1.4288,                 1.6146,                 1.3264,                0.38323,                0.37904,                0.25683,                0.12731,                 1.8843,                 4.0242,                 1.8899,                0.00538,                0.00538,                0.00538
                     16,                 1.4073,                 1.5688,                 1.3192,                0.41016,                0.36597,                0.33607,                0.15366,                 2.0269,                 3.0139,                 1.9652,                0.00505,                0.00505,                0.00505
                     17,                 1.3962,                 1.4573,                 1.3019,                0.49197,                0.37593,                0.36689,                 0.1741,                 1.9258,                 2.7433,                 1.8399,                0.00472,                0.00472,                0.00472
                     18,                 1.4159,                 1.4457,                 1.3006,                 0.5132,                0.42714,                0.40165,                0.21288,                 1.6688,                  2.335,                 1.5647,                0.00439,                0.00439,                0.00439
                     19,                  1.352,                 1.3933,                 1.2809,                0.61918,                0.44893,                0.45878,                0.23175,                 1.7607,                 2.1554,                 1.6104,                0.00406,                0.00406,                0.00406
                     20,                 1.3092,                 1.3297,                 1.2533,                0.67024,                0.53423,                0.56574,                0.31694,                 1.5713,                 1.7041,                 1.4227,                0.00373,                0.00373,                0.00373
                     21,                 1.3221,                 1.5034,                 1.2719,                0.63335,                0.44228,                0.45842,                 0.2598,                 1.5943,                 1.9883,                 1.4776,                 0.0034,                 0.0034,                 0.0034
                     22,                 1.2788,                 1.4157,                  1.228,                0.70838,                 0.5132,                0.57069,                 0.3223,                 1.5664,                 1.6306,                 1.4246,                0.00307,                0.00307,                0.00307
                     23,                 1.2746,                 1.3444,                 1.2529,                0.72749,                 0.5809,                0.65609,                0.38566,                 1.4979,                 1.4179,                 1.3643,                0.00274,                0.00274,                0.00274
                     24,                 1.2355,                 1.2499,                  1.227,                0.70933,                0.55565,                0.60953,                0.35144,                 1.5024,                 1.5838,                  1.366,                0.00241,                0.00241,                0.00241
                     25,                 1.2286,                 1.2202,                 1.2146,                0.71273,                0.58698,                0.63727,                0.36461,                  1.483,                 1.4938,                 1.3709,                0.00208,                0.00208,                0.00208
                     26,                 1.1928,                 1.1813,                 1.1927,                0.76736,                0.64744,                0.71199,                 0.4177,                  1.478,                 1.3231,                 1.3479,                0.00175,                0.00175,                0.00175
                     27,                 1.1659,                  1.145,                 1.1619,                0.78869,                0.62772,                0.70078,                0.41417,                 1.4718,                 1.3612,                 1.3286,                0.00142,                0.00142,                0.00142
                     28,                  1.135,                 1.0939,                 1.1538,                0.78011,                0.64207,                0.70729,                 0.4182,                  1.465,                 1.2992,                 1.3432,                0.00109,                0.00109,                0.00109
                     29,                 1.1396,                 1.0488,                 1.1622,                0.78933,                0.66249,                0.72684,                 0.4344,                 1.4304,                 1.2563,                 1.3147,                0.00076,                0.00076,                0.00076
                     30,                 1.0916,                 1.0133,                 1.1375,                0.79573,                0.66576,                0.73998,                0.44433,                 1.4309,                 1.2175,                 1.3115,                0.00043,                0.00043,                0.00043
