                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.7111,                 3.9466,                 1.6303,                0.00278,                 0.6862,                0.10275,                0.05483,                 1.4481,                 3.3445,                 1.4116,                 0.0901,                 0.0011,                 0.0011
                      2,                 1.5057,                 3.7433,                 1.4756,                0.00302,                0.77379,                0.21648,                0.11858,                 1.3512,                 3.1305,                 1.2939,               0.079224,              0.0022241,              0.0022241
                      3,                 1.3937,                 3.2026,                 1.3555,                0.00317,                0.81018,                0.29612,                0.16206,                 1.3904,                 2.9939,                 1.2929,               0.068269,               0.003269,               0.003269
                      4,                 1.4574,                 2.7201,                 1.3443,                0.76582,                0.12253,                0.30747,                0.15937,                 1.4873,                 2.8315,                 1.2836,               0.057235,              0.0042347,              0.0042347
                      5,                 1.4521,                 2.2813,                 1.3205,                0.33337,                 0.1069,                0.19623,                0.09456,                 1.5854,                 2.9747,                 1.3914,               0.046121,              0.0051212,              0.0051212
                      6,                 1.4485,                 2.1372,                 1.3389,                0.80532,                0.09674,                0.34222,                0.18548,                 1.5445,                 2.8359,                 1.3286,               0.034929,              0.0059285,              0.0059285
                      7,                  1.484,                 2.1145,                 1.3717,                0.71248,                0.10442,                0.24307,                0.11769,                 1.8094,                 3.0154,                 1.5468,               0.023657,              0.0066566,              0.0066566
                      8,                 1.4748,                 1.9353,                 1.3506,                0.41802,                0.23408,                0.13488,                0.06285,                 1.9206,                 3.4758,                 1.6728,               0.012305,              0.0073055,              0.0073055
                      9,                 1.5341,                  1.981,                 1.4165,                0.11716,                0.16125,                 0.0292,                0.00989,                 2.5643,                 4.3219,                 2.4079,                0.00736,                0.00736,                0.00736
                     10,                 1.5273,                  1.951,                  1.441,                0.14512,                0.21486,                0.05878,                0.01918,                 2.2256,                 5.0697,                 2.1733,                0.00703,                0.00703,                0.00703
                     11,                  1.525,                 1.8813,                 1.4307,                0.07588,                0.12517,                0.02932,                0.01323,                 2.1935,                 6.1847,                 2.5851,                 0.0067,                 0.0067,                 0.0067
                     12,                 1.4672,                 1.7772,                  1.416,                0.27006,                  0.192,                0.11891,                0.04624,                 2.0951,                 3.7936,                 2.6069,                0.00637,                0.00637,                0.00637
                     13,                  1.488,                  1.747,                 1.4414,                0.23335,                0.22026,                0.13873,                0.05402,                 2.0766,                 5.2666,                 2.6289,                0.00604,                0.00604,                0.00604
                     14,                 1.4446,                 1.6001,                 1.3936,                0.14201,                0.18972,                0.05744,                0.02384,                 2.2295,                 4.5359,                 2.4443,                0.00571,                0.00571,                0.00571
                     15,                 1.4119,                 1.5771,                 1.3632,                0.17462,                0.04665,                0.00537,                0.00246,                 2.4257,                 6.2885,                 2.7068,                0.00538,                0.00538,                0.00538
                     16,                 1.4304,                 1.5376,                 1.3819,                0.49564,                0.39727,                0.37818,                0.18332,                  1.756,                 2.7552,                  1.675,                0.00505,                0.00505,                0.00505
                     17,                 1.3858,                 1.4529,                 1.3421,                0.55903,                0.34654,                0.31565,                0.15675,                  1.685,                 2.7696,                 1.5548,                0.00472,                0.00472,                0.00472
                     18,                 1.3355,                 1.4085,                 1.3183,                0.56935,                0.45155,                0.45986,                0.23013,                 1.7352,                 2.1926,                 1.6265,                0.00439,                0.00439,                0.00439
                     19,                 1.2984,                 1.3287,                 1.2795,                0.50035,                0.35572,                0.35096,                0.16405,                 1.7635,                 2.6295,                 1.6743,                0.00406,                0.00406,                0.00406
                     20,                 1.3065,                  1.289,                 1.2846,                0.61069,                0.43226,                 0.4686,                 0.2547,                  1.666,                 2.1684,                 1.5758,                0.00373,                0.00373,                0.00373
                     21,                 1.3001,                 1.4211,                 1.2849,                0.53547,                0.39036,                 0.4065,                0.22533,                 1.6852,                 2.3288,                 1.6089,                 0.0034,                 0.0034,                 0.0034
                     22,                 1.2954,                 1.3437,                 1.2917,                0.58191,                 0.4994,                0.49108,                0.27586,                 1.6041,                 1.9748,                 1.5027,                0.00307,                0.00307,                0.00307
                     23,                 1.2664,                 1.3001,                 1.2806,                0.67315,                 0.5395,                0.58007,                0.32151,                 1.5778,                 1.7809,                 1.4252,                0.00274,                0.00274,                0.00274
                     24,                 1.2251,                 1.2739,                 1.2416,                0.73177,                 0.5753,                0.64531,                0.37807,                 1.4939,                 1.5633,                 1.3614,                0.00241,                0.00241,                0.00241
                     25,                 1.2211,                 1.2069,                 1.2332,                0.75558,                0.59509,                0.66498,                0.38928,                 1.5198,                  1.469,                 1.4115,                0.00208,                0.00208,                0.00208
                     26,                 1.2063,                 1.1625,                 1.2207,                0.74885,                0.63433,                0.69672,                 0.4017,                 1.5163,                 1.3305,                 1.3907,                0.00175,                0.00175,                0.00175
                     27,                 1.1677,                 1.1368,                 1.2089,                 0.7754,                0.64028,                0.71315,                0.40847,                 1.4796,                 1.3069,                 1.3758,                0.00142,                0.00142,                0.00142
                     28,                 1.1512,                 1.0963,                 1.2077,                0.79534,                0.65237,                0.72785,                0.42462,                 1.4437,                  1.298,                 1.3566,                0.00109,                0.00109,                0.00109
                     29,                  1.105,                  1.049,                  1.183,                0.78968,                0.65896,                0.72991,                0.42999,                 1.4378,                  1.296,                 1.3439,                0.00076,                0.00076,                0.00076
                     30,                 1.0751,                0.99887,                 1.1741,                0.81013,                0.67487,                0.75174,                0.44948,                 1.4186,                 1.2101,                  1.321,                0.00043,                0.00043,                0.00043
