                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.7413,                 3.9407,                 1.6116,                0.00279,                0.68413,                0.04439,                0.02588,                 1.5442,                 3.4727,                 1.5626,                 0.0964,                 0.0004,                 0.0004
                      2,                 1.7702,                 3.9569,                 1.6428,                0.00267,                0.66778,                0.05452,                0.03109,                 1.5165,                  3.445,                 1.5248,                0.09187,              0.0008703,              0.0008703
                      3,                 1.6592,                  3.835,                 1.5761,                0.00293,                0.71123,                0.08304,                0.04619,                 1.4591,                 3.2493,                 1.4209,               0.087308,              0.0013076,              0.0013076
                      4,                 1.5575,                 3.6409,                 1.4824,                0.00314,                0.78187,                0.12428,                0.06694,                 1.4071,                 3.1807,                  1.336,               0.082712,              0.0017119,              0.0017119
                      5,                 1.4819,                 3.4953,                 1.4129,                0.00326,                0.82493,                 0.1318,                0.06379,                 1.4621,                 3.1538,                 1.3302,               0.078083,              0.0020832,              0.0020832
                      6,                 1.4849,                 3.2951,                 1.3947,                0.00329,                0.84021,                0.14882,                0.07253,                 1.4481,                 3.1229,                 1.3012,               0.073422,              0.0024215,              0.0024215
                      7,                 1.4829,                  3.138,                 1.3575,                0.00332,                0.83619,                0.24268,                0.12851,                 1.4235,                 3.0905,                 1.3008,               0.068727,              0.0027268,              0.0027268
                      8,                 1.5228,                 2.9508,                 1.3795,                0.00344,                0.84827,                0.32564,                0.18246,                 1.3712,                 3.0413,                 1.2888,               0.063999,              0.0029991,              0.0029991
                      9,                 1.3799,                 2.6422,                 1.2608,                 0.0038,                0.78655,                0.30497,                 0.1461,                 1.5432,                 2.9957,                 1.3789,               0.059238,              0.0032384,              0.0032384
                     10,                 1.4029,                  2.474,                 1.3249,                0.56764,                0.14025,                0.27345,                0.13061,                 1.6053,                 2.9724,                 1.3974,               0.054445,              0.0034447,              0.0034447
                     11,                 1.4372,                 2.4642,                 1.3183,                0.84749,                0.03637,                  0.308,                0.15093,                 1.5329,                 2.8647,                 1.3258,               0.049618,               0.003618,               0.003618
                     12,                 1.4147,                  2.417,                 1.2715,                 0.5501,                0.07063,                0.31276,                 0.1509,                 1.5691,                  2.864,                 1.3717,               0.044758,              0.0037583,              0.0037583
                     13,                 1.4088,                 2.2877,                 1.2776,                0.47003,                0.08164,                0.26192,                0.11856,                 1.7057,                 2.9435,                 1.4646,               0.039866,              0.0038656,              0.0038656
                     14,                  1.371,                 2.1552,                 1.2637,                0.78493,                0.08091,                0.30495,                 0.1489,                 1.6538,                 2.8598,                 1.4126,                0.03494,              0.0039399,              0.0039399
                     15,                 1.3961,                 2.1051,                 1.2622,                0.81426,                0.09415,                0.32056,                0.15785,                 1.5738,                 2.8427,                 1.3702,               0.029981,              0.0039812,              0.0039812
                     16,                 1.3506,                 2.0332,                 1.2601,                0.56084,                 0.2202,                0.34482,                0.16364,                 1.6028,                 2.6395,                 1.4164,               0.024989,              0.0039895,              0.0039895
                     17,                 1.3533,                 1.9407,                 1.2361,                0.46502,                0.21719,                 0.3107,                0.14776,                 1.5571,                 2.6055,                 1.4145,               0.019965,              0.0039648,              0.0039648
                     18,                 1.3979,                 1.9667,                  1.273,                0.47884,                0.19914,                0.27287,                0.13338,                 1.6498,                 2.7503,                 1.5063,               0.014907,              0.0039071,              0.0039071
                     19,                 1.3474,                 1.9019,                 1.2364,                0.44722,                0.33906,                0.30987,                0.14634,                 1.6362,                 2.5694,                 1.5218,              0.0098164,              0.0038164,              0.0038164
                     20,                 1.3802,                  1.934,                 1.2642,                0.50254,                0.35725,                0.39909,                0.19275,                 1.6521,                 2.5286,                 1.5878,              0.0046927,              0.0036927,              0.0036927
                     21,                 1.3986,                 2.1991,                 1.3029,                0.62983,                0.24287,                0.37065,                0.18286,                 1.6203,                 2.7835,                 1.6317,                 0.0034,                 0.0034,                 0.0034
                     22,                 1.2894,                 2.0799,                 1.2213,                0.65415,                0.18044,                0.31081,                0.16012,                 1.6814,                 2.9669,                 1.7471,                0.00307,                0.00307,                0.00307
                     23,                  1.341,                 1.9857,                 1.2381,                0.52677,                0.20067,                0.23812,                0.11971,                 1.8172,                 3.1534,                 1.8795,                0.00274,                0.00274,                0.00274
                     24,                 1.3426,                 1.9878,                 1.2544,                0.51385,                0.30337,                0.32205,                0.17216,                 1.6742,                 2.9702,                 1.6779,                0.00241,                0.00241,                0.00241
                     25,                 1.2717,                 1.8455,                 1.2201,                0.53055,                0.37565,                0.39568,                0.21159,                 1.6099,                 2.6243,                   1.56,                0.00208,                0.00208,                0.00208
                     26,                  1.201,                 1.7606,                 1.1738,                0.55784,                0.38121,                0.41326,                0.22754,                 1.6148,                 2.5558,                 1.5534,                0.00175,                0.00175,                0.00175
                     27,                 1.2104,                 1.7925,                 1.1928,                 0.5676,                0.42661,                 0.4544,                0.24669,                 1.6048,                 2.3362,                 1.5016,                0.00142,                0.00142,                0.00142
                     28,                 1.1881,                 1.7135,                 1.1459,                0.58261,                0.49405,                0.48889,                0.26514,                 1.5852,                 2.2355,                 1.5013,                0.00109,                0.00109,                0.00109
                     29,                 1.1735,                 1.6326,                 1.1234,                0.59665,                0.53451,                0.52831,                0.29114,                 1.5433,                 2.0618,                 1.4444,                0.00076,                0.00076,                0.00076
