                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.7048,                 4.0531,                 1.6305,                0.00274,                0.65894,                 0.0505,                0.02834,                 1.5036,                 3.4183,                 1.4962,                 0.0937,                 0.0007,                 0.0007
                      2,                 1.6282,                 3.9964,                 1.5536,                0.00302,                0.72108,                0.08506,                0.05003,                   1.42,                 3.3645,                 1.4233,                0.08645,              0.0014505,              0.0014505
                      3,                 1.5648,                 3.7963,                 1.4661,                0.00339,                0.80716,                0.13664,                0.07661,                   1.36,                 3.1795,                  1.321,               0.079148,              0.0021482,              0.0021482
                      4,                 1.4114,                 3.5278,                 1.3785,                0.00334,                0.82674,                0.19077,                0.10195,                 1.3669,                 3.1678,                 1.3109,               0.071793,              0.0027931,              0.0027931
                      5,                 1.5398,                 3.1992,                 1.4234,                0.00323,                 0.7943,                0.15332,                0.07541,                 1.6833,                 3.2447,                 1.5874,               0.064385,              0.0033852,              0.0033852
                      6,                  1.493,                 3.0975,                  1.455,                0.00343,                 0.8287,                0.25644,                0.12364,                 1.5019,                  3.093,                 1.4177,               0.056925,              0.0039245,              0.0039245
                      7,                 1.4747,                 2.5427,                   1.42,                 0.3189,                0.51986,                0.31378,                0.15741,                 1.4959,                 3.0189,                 1.3806,               0.049411,               0.004411,               0.004411
                      8,                 1.5078,                 2.4939,                  1.425,                0.00309,                0.78892,                0.20223,                 0.1028,                 1.5021,                 3.1058,                 1.3905,               0.041845,              0.0048447,              0.0048447
                      9,                 1.4812,                 2.2092,                 1.4449,                0.00254,                0.58002,                0.01859,                0.00976,                 1.7998,                 3.6206,                  1.931,               0.034226,              0.0052256,              0.0052256
                     10,                 1.4562,                 2.2359,                 1.4003,                0.00274,                0.64914,                0.04871,                0.02525,                 1.5975,                 3.4901,                 1.7365,               0.026554,              0.0055537,              0.0055537
                     11,                 1.5871,                 2.1514,                 1.5488,                0.34429,                0.03352,                0.15196,                 0.0688,                 1.7487,                 3.3348,                 1.9407,               0.018829,               0.005829,               0.005829
                     12,                 1.5483,                 2.2133,                 1.5193,                0.62861,                0.19631,                0.29334,                0.14972,                 1.7154,                 2.8941,                  1.715,               0.011052,              0.0060515,              0.0060515
                     13,                 1.5718,                 2.0097,                  1.488,                0.53467,                0.37112,                0.34759,                0.17433,                 1.7424,                 2.6618,                 1.7037,                0.00604,                0.00604,                0.00604
                     14,                 1.6386,                 2.4739,                 1.5102,                0.23405,                0.24327,                  0.122,                 0.0572,                 2.0301,                 4.4095,                 2.4047,                0.00571,                0.00571,                0.00571
                     15,                 1.6343,                  2.184,                 1.6111,                0.41898,                0.33137,                0.24564,                0.11665,                 1.8674,                 2.9307,                 1.9613,                0.00538,                0.00538,                0.00538
                     16,                 1.5848,                 2.5311,                 1.5111,                0.26388,                0.15899,                0.07395,                0.03422,                 2.3498,                 5.9324,                 2.6315,                0.00505,                0.00505,                0.00505
                     17,                  1.529,                 2.1572,                  1.564,                0.42214,                0.16522,                0.14671,                0.07195,                 1.9796,                 3.4419,                 2.0005,                0.00472,                0.00472,                0.00472
                     18,                 1.4358,                 1.9317,                 1.4603,                0.31864,                0.12457,                0.05437,                 0.0267,                 2.1833,                 4.5663,                 2.1915,                0.00439,                0.00439,                0.00439
                     19,                 1.4147,                 1.7475,                  1.425,                0.33796,                0.21349,                0.14419,                0.06116,                 2.2441,                 3.3135,                 2.2067,                0.00406,                0.00406,                0.00406
                     20,                 1.4012,                  1.741,                 1.3887,                0.47238,                0.38973,                0.30342,                 0.1469,                 1.8592,                 2.6471,                 1.6729,                0.00373,                0.00373,                0.00373
                     21,                  1.489,                 1.8894,                 1.4601,                0.60089,                0.30148,                0.31954,                0.15628,                 1.8652,                 2.4412,                 1.6963,                 0.0034,                 0.0034,                 0.0034
                     22,                 1.2922,                 1.7735,                 1.3285,                0.63902,                0.49537,                 0.5327,                 0.2817,                  1.649,                 1.8159,                 1.5483,                0.00307,                0.00307,                0.00307
                     23,                 1.4179,                 1.6808,                 1.3386,                 0.5856,                0.48317,                 0.4493,                0.23305,                 1.6233,                 2.0282,                 1.4874,                0.00274,                0.00274,                0.00274
                     24,                 1.4188,                 1.8193,                 1.4124,                 0.6732,                0.54795,                0.59031,                0.31812,                  1.599,                 1.7506,                 1.5077,                0.00241,                0.00241,                0.00241
                     25,                  1.293,                 1.4703,                  1.331,                0.61751,                 0.5009,                0.49025,                0.25966,                 1.6417,                 2.0332,                 1.5404,                0.00208,                0.00208,                0.00208
                     26,                 1.3076,                  1.531,                 1.2963,                0.72406,                 0.5812,                0.62796,                0.35444,                 1.5453,                 1.6082,                 1.4551,                0.00175,                0.00175,                0.00175
                     27,                 1.3763,                 1.3973,                 1.4072,                0.68431,                0.54944,                0.57886,                0.32483,                 1.5477,                  1.738,                 1.4499,                0.00142,                0.00142,                0.00142
                     28,                 1.3827,                 1.4033,                 1.3415,                0.72922,                0.58177,                0.64105,                0.36333,                 1.5252,                 1.5453,                 1.4394,                0.00109,                0.00109,                0.00109
                     29,                  1.134,                 1.2902,                 1.1947,                0.71592,                0.56527,                0.61193,                0.35068,                 1.4888,                 1.6493,                 1.3926,                0.00076,                0.00076,                0.00076
                     30,                 1.1505,                 1.2258,                 1.1829,                0.72934,                0.58978,                0.64398,                0.37173,                 1.4836,                 1.5219,                 1.3885,                0.00043,                0.00043,                0.00043
