                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.6983,                 3.9802,                 1.6665,                0.00306,                0.65187,                0.05072,                0.02813,                 1.5321,                  3.399,                 1.4963,                 0.0964,                 0.0004,                 0.0004
                      2,                 1.6478,                  3.999,                 1.6036,                 0.0027,                0.67501,                0.06359,                0.03628,                 1.5057,                 3.3847,                 1.4799,                0.09187,              0.0008703,              0.0008703
                      3,                 1.6225,                  3.915,                 1.6015,                0.00287,                0.72217,                0.08163,                0.04609,                 1.4216,                 3.2347,                 1.4097,               0.087308,              0.0013076,              0.0013076
                      4,                 1.5055,                  3.816,                  1.509,                  0.003,                0.76655,                0.10004,                0.05512,                 1.3724,                 3.1728,                 1.3396,               0.082712,              0.0017119,              0.0017119
                      5,                 1.4378,                 3.6611,                 1.4467,                0.00303,                0.77716,                0.13211,                0.07077,                 1.3843,                 3.1139,                 1.2974,               0.078083,              0.0020832,              0.0020832
                      6,                 1.3705,                 3.5933,                 1.3487,                0.00301,                0.77136,                0.12351,                0.06066,                 1.5001,                 3.1396,                 1.3637,               0.073422,              0.0024215,              0.0024215
                      7,                 1.3471,                 3.3556,                 1.3457,                0.00315,                0.79863,                0.16157,                0.07778,                 1.4988,                 3.1023,                 1.3511,               0.068727,              0.0027268,              0.0027268
                      8,                 1.2805,                 3.2043,                 1.3057,                0.00311,                0.80008,                0.16554,                0.07284,                 1.6027,                 3.0919,                 1.3968,               0.063999,              0.0029991,              0.0029991
                      9,                 1.4254,                 3.0569,                 1.3076,                0.50264,                0.37003,                0.18517,                 0.0794,                 1.6725,                 3.1024,                 1.4316,               0.059238,              0.0032384,              0.0032384
                     10,                 1.4277,                 2.7602,                 1.3341,                0.78614,                0.08768,                0.24984,                0.11583,                 1.5936,                 2.8805,                 1.3279,               0.054445,              0.0034447,              0.0034447
